run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,reach-v3,0,0,MT-REIM,0,2,2,500,00-0000-0395e2a03e29,9910,0395e2a03e2910bac699b683957e3ceafe547870d704941a7b9c174aa0d6ea3d,0.4659004211425781,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,reach-v3,0,1,MT-REIM,1,2,2,349,00-0001-3ac34b7f27e1,9911,3ac34b7f27e106ec9c8dcc5302c565530266e86aef18c990cda1fa2d90a1f3cc,0.4279281198978424,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,reach-v3,0,2,MT-REIM,0,4,2,500,00-0002-befd5b78c81d,9912,befd5b78c81d6d9b883ef6d8c07dd9401f59df1ee631b049fc3670b35db14e58,0.4102928638458252,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,reach-v3,0,3,MT-REIM,1,1,1,117,00-0003-0ebfa1e30754,9913,0ebfa1e30754b5c362109a21295f076b4904537bcd2d8b2f341c2e93f067dec5,0.44743260741233826,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,reach-v3,0,4,MT-REIM,1,2,2,126,00-0004-41d221c70919,9914,41d221c709195ffc5ae27abb90764476ed8625a68928df0ca903b3a5525df96d,0.46879974007606506,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,push-v3,1,0,MT-REIM,0,5,4,500,01-0000-61c5ea903f22,109910,61c5ea903f22cb0a9e7b69f2e5a8c7a9e79c3efe102c842edc14fddec2d2a93a,0.874091386795044,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,push-v3,1,1,MT-REIM,0,5,3,500,01-0001-28a42df29b41,109911,28a42df29b4164b0c3694dd0ec811af255ef0a42feea4630e4b39adf2daed072,0.9189520478248596,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,push-v3,1,2,MT-REIM,0,3,1,500,01-0002-6cb560235c8d,109912,6cb560235c8dbe2505218f5d2ca9725ae0633bbe92eda702286c6f870d2e4dbd,0.8671374320983887,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,push-v3,1,3,MT-REIM,1,2,2,84,01-0003-1e1692fb2f2e,109913,1e1692fb2f2ecb67c96e29a80111f0c1d12fa7c25ea1e9e498bfdc3561a2ebbe,0.7454941272735596,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,push-v3,1,4,MT-REIM,0,5,4,500,01-0004-a7567fd00efc,109914,a7567fd00efc104bd7c0025754f1d498dd6796a060bc1dd1fa6bf92d8186ae6d,0.8513495922088623,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,pick-place-v3,2,0,MT-REIM,0,3,1,500,02-0000-90f26da7cfc9,209910,90f26da7cfc95e1c5f8445b23a27c9e0422acf4b08e74229ac7d4d78692d6c27,0.7694846987724304,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,pick-place-v3,2,1,MT-REIM,0,4,2,500,02-0001-e9a40f54dd71,209911,e9a40f54dd718bb1eed68a6c339bf2cf92628f32108ecdc7ef41e9b1ae095d57,0.7626118659973145,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,pick-place-v3,2,2,MT-REIM,0,3,1,500,02-0002-ab3d5dcd3e1a,209912,ab3d5dcd3e1a541a11efbeb9e0bf3b5e7c6ec5d2dfe7d60a14f6db97514f6620,0.7883777618408203,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,pick-place-v3,2,3,MT-REIM,0,5,4,500,02-0003-ae5072aae0bb,209913,ae5072aae0bb873c1e743c7ba8d2092b42004c69973bef2a7bd994807ba9fcb2,0.5208204984664917,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,pick-place-v3,2,4,MT-REIM,0,4,2,500,02-0004-4e4f6d34578b,209914,4e4f6d34578b8c87784492356d8288c2de6bbbbd480d1d2405cd2814dd734f1a,0.8029807806015015,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,door-open-v3,3,0,MT-REIM,1,1,1,74,03-0000-e895c25e348e,309910,e895c25e348e636b4f31f30acca0d8002301ffd8b89426ddd06f7268fc281f56,0.8423501253128052,0,1
775f79ba689f80528934252cb9cbd96e0a804338d3f7e713677ec8d42cc81da7,MT10,diagnostic_gate_20,door-open-v3,3,1,MT-REIM,1,1,1,80,03-0001-913176d8c4c8,309911,913176d8c4c8ca9833f2b11d2bb444a9ed8dffc4e386ee9cfd30cd06596162e8,0.7994759678840637,0,1
