run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count,recovery_steps_total
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,0,MT-ACT + Heuristic-Gated Learned Recovery,1,1,0,310,02-0000-6ca84542b570,200042,6ca84542b570063e11ed806a50035a288ae93005503eb551491d76521b0c742c,0.0,30,1,250
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,1,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,02-0001-6964c999404a,200043,6964c999404ad82ed1c3e81dfef25cfe6d654d155c516383f52fbe3abcfbb7f9,0.0,30,1,461
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,2,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,02-0002-802ec8266fa1,200044,802ec8266fa16f90ec4336dc73b903a5c5e7ab6b3a231e2a952e208e2afc0b9e,0.0,30,1,434
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,3,MT-ACT + Heuristic-Gated Learned Recovery,1,1,1,139,02-0003-51c994cad5be,200045,51c994cad5be3532d31ab89ea7dc1c8c09a36769dc0d2006c83b36d5a5f0ebac,0.0,30,1,109
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,4,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,02-0004-1ecbf954ea1e,200046,1ecbf954ea1e94379154ecd854c1ffc11df58063fa5a5151b1b7e850db68e4d6,0.0,30,1,461
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,5,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,02-0005-93483b61bc32,200047,93483b61bc32db24f74ce215e6d2545918a7aa32586a2584a8653300f73c68f3,0.0,30,1,461
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,6,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,02-0006-e16dfe1f1fe1,200048,e16dfe1f1fe16fd7d6bb5661907ea2321125b1d90eda53e9f8b038ec8933f118,0.0,30,1,447
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,7,MT-ACT + Heuristic-Gated Learned Recovery,1,1,1,156,02-0007-8bb81d38e6f8,200049,8bb81d38e6f8238c459d84f8152f6379cb094b90bdbc7ef9067108232b73ee8f,0.0,30,1,126
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,8,MT-ACT + Heuristic-Gated Learned Recovery,1,1,1,173,02-0008-e3a2ac1b0d8e,200050,e3a2ac1b0d8e125efe6c1074ab0a8964bb2d00cc7c36dfc195fc4f0298ca059d,0.0,30,1,143
ef301c101859920520adad2dba2a928a544afb9a9f82a28d91dbec2aa6aef920,MT50,robustness_noise_40,bin-picking-v3,2,9,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,02-0009-69a268e019ae,200051,69a268e019ae8691d9be6970ab8f03b2b90b01ca74e7316d41209cab3d92bc32,0.0,30,1,461
