run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count,recovery_steps_total
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,0,MT-REIM,0,0,0,500,00-0000-1e6a4f1ef266,42,1e6a4f1ef26635c3846633141af053b024dd0ede4f03936141c995a391ca9ae9,0.4015282988548279,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,1,MT-REIM,0,1,0,500,00-0001-72b709b221da,43,72b709b221da4090fafb56ff3dd3a4ed1cf559f4731ee8e5d59eef5a13fc96bb,0.7054535746574402,194,1,250
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,2,MT-REIM,1,1,1,71,00-0002-0231216a4e84,44,0231216a4e84248bff321d56dabbc6e2346d1414c280fefadf19ab92dbb836a7,0.818947434425354,26,1,45
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,3,MT-REIM,0,0,0,500,00-0003-2ace3ca4ff3b,45,2ace3ca4ff3bf4d46aa96216fe36181c28b0e9a300fe34271e531ef2fa027cd2,0.5294294953346252,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,4,MT-REIM,0,1,0,500,00-0004-8242505bcdf2,46,8242505bcdf2f4cf21e416d8ad14d2baa32596a56328377027f0a2816e4ca095,0.6891613602638245,304,1,196
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,5,MT-REIM,0,0,0,500,00-0005-23def6317b54,47,23def6317b549829ada7444b7fb7de670c8da3e7ae9bdab1724ca5dfab33f683,0.46435147523880005,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,6,MT-REIM,0,0,0,500,00-0006-0c4dd7040ed6,48,0c4dd7040ed692f499c8ff682d2a05c60984396e3aafd9f0fe1fea224d1a4cf3,0.5945910215377808,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,7,MT-REIM,1,0,0,308,00-0007-5dfd5087910d,49,5dfd5087910db9c1e5e6717f1b53298d6848aaf42ba44e3f3e42a4428ec6d68b,0.4228263795375824,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,8,MT-REIM,0,0,0,500,00-0008-7773273327b2,50,7773273327b2b8104c9d891926e8a8052d3a6ba25f2d9ea2e219f920544a2203,0.44191643595695496,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,9,MT-REIM,0,1,0,500,00-0009-b82c458df3a0,51,b82c458df3a0207328f1bbe8e6f1006af10cef4f008301c63e69755cf69a8ca8,0.6884549260139465,321,1,179
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,10,MT-REIM,0,0,0,500,00-0010-357dd412470c,52,357dd412470c7e7977e6dfa4e8c1e6a9f722949a53348c1b5eaac19e05f6661d,0.49719297885894775,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,11,MT-REIM,0,0,0,500,00-0011-c356420206b5,53,c356420206b5a5fe36d2fe3394ab939e7413a006845ad918fe2d352fa9dd980b,0.43779411911964417,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,12,MT-REIM,0,0,0,500,00-0012-c16764b58f5e,54,c16764b58f5e84425e24a538705800575fe1fd92aa86f1a402069983cf08f827,0.4397663474082947,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,13,MT-REIM,1,1,1,426,00-0013-c5b119712685,55,c5b119712685ce8f8f30ad149cfba06296cd5c92939b65060fc2362b01a42cf7,0.7087609171867371,382,1,44
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,14,MT-REIM,0,0,0,500,00-0014-b1951c9287dc,56,b1951c9287dcc280d597f6efd5c4115d0a08ec2161b65ad4d0d14ad9e8e116a1,0.4884280860424042,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,15,MT-REIM,0,1,0,500,00-0015-11e48abd3f90,57,11e48abd3f9004c20d90630351c3f6af5f8a1faeacf24ba96fd2be1043b0c722,0.6843080520629883,364,1,136
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,16,MT-REIM,0,2,0,500,00-0016-725077eddfb8,58,725077eddfb80324207793eb4e169617e6267b8a7edaa86c888f0a17dc29b010,0.6907954216003418,52,1,263
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,17,MT-REIM,0,0,0,500,00-0017-0d17a6fca355,59,0d17a6fca3558e0a2a53a243c2f44a395db00cab1a7e2e592c515488a13deef3,0.5262099504470825,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,18,MT-REIM,0,0,0,500,00-0018-58f0860dca10,60,58f0860dca10e4e54b50a1952be0ff6724a066da5b08333d23bb32b8bd706d92,0.42725783586502075,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,reach-v3,0,19,MT-REIM,0,0,0,500,00-0019-2868fb87c7fd,61,2868fb87c7fd74a855a3c0e314fce886924c45860e8a4a5e5b7227bb108089d7,0.44648900628089905,-1,1,0
53bd429ac762661306bd501c410b96f594b9254811107ebad8bd2eabbf5a00b3,MT10,robustness_noise_10,push-v3,1,0,MT-REIM,0,2,0,500,01-0000-feb7b28cda8e,100042,feb7b28cda8e967281ba934fde790d992504aca12fa12d024c6fd40604749340,0.9305329918861389,130,1,361
