condition,noise_level,release_threshold,release_patience,episodes,micro_success,task_macro_success,intervened_episode_rate,interventions_per_episode_mean,interventions_per_episode_median,release_rate,median_trigger_step,recovery_occupancy_mean,mean_steps
official_clean,0.0,0.05,1,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.05,3,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.05,5,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.05,10,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.1,1,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.1,3,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.1,5,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.1,10,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.15,1,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.15,3,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.15,5,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.15,10,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.2,1,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.2,3,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.2,5,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.2,10,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.3,1,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.3,3,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.3,5,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
official_clean,0.0,0.3,10,200,0.98,0.98,0.455,0.455,0.0,1.0,43.0,0.185244,83.35
robustness_noise_10,0.1,0.05,1,200,0.46,0.46,0.795,0.93,1.0,0.660377,124.0,0.37495,358.77
robustness_noise_10,0.1,0.05,3,200,0.46,0.46,0.795,0.91,1.0,0.647799,124.0,0.373169,359.445
robustness_noise_10,0.1,0.05,5,200,0.455,0.455,0.795,0.92,1.0,0.641509,124.0,0.381244,359.73
robustness_noise_10,0.1,0.05,10,200,0.46,0.46,0.795,0.915,1.0,0.63522,124.0,0.382569,358.09
robustness_noise_10,0.1,0.1,1,200,0.45,0.45,0.795,0.945,1.0,0.716981,124.0,0.349535,362.63
robustness_noise_10,0.1,0.1,3,200,0.45,0.45,0.795,0.95,1.0,0.710692,124.0,0.353948,362.08
robustness_noise_10,0.1,0.1,5,200,0.45,0.45,0.795,0.93,1.0,0.691824,124.0,0.360932,361.95
robustness_noise_10,0.1,0.1,10,200,0.455,0.455,0.795,0.93,1.0,0.679245,124.0,0.367127,360.435
robustness_noise_10,0.1,0.15,1,200,0.445,0.445,0.795,1.03,1.0,0.773585,124.0,0.311979,369.11
robustness_noise_10,0.1,0.15,3,200,0.44,0.44,0.795,0.99,1.0,0.767296,124.0,0.331701,366.265
robustness_noise_10,0.1,0.15,5,200,0.44,0.44,0.795,0.965,1.0,0.754717,124.0,0.340002,365.085
robustness_noise_10,0.1,0.15,10,200,0.45,0.45,0.795,0.945,1.0,0.716981,124.0,0.358023,361.235
robustness_noise_10,0.1,0.2,1,200,0.44,0.44,0.795,1.11,1.0,0.779874,124.0,0.293319,375.73
robustness_noise_10,0.1,0.2,3,200,0.42,0.42,0.795,1.065,1.0,0.779874,124.0,0.308649,375.435
robustness_noise_10,0.1,0.2,5,200,0.425,0.425,0.795,1.015,1.0,0.779874,124.0,0.31674,371.76
robustness_noise_10,0.1,0.2,10,200,0.435,0.435,0.795,0.955,1.0,0.761006,124.0,0.341738,362.905
robustness_noise_10,0.1,0.3,1,200,0.415,0.415,0.795,1.3,1.0,0.81761,124.0,0.245782,396.0
robustness_noise_10,0.1,0.3,3,200,0.415,0.415,0.795,1.225,1.0,0.805031,124.0,0.274618,388.785
robustness_noise_10,0.1,0.3,5,200,0.395,0.395,0.795,1.185,1.0,0.786164,124.0,0.290677,389.7
robustness_noise_10,0.1,0.3,10,200,0.445,0.445,0.795,1.01,1.0,0.786164,124.0,0.320908,367.215
robustness_noise_20,0.2,0.05,1,200,0.505,0.505,0.875,1.12,1.0,0.754286,34.0,0.507694,315.54
robustness_noise_20,0.2,0.05,5,200,0.515,0.515,0.875,1.09,1.0,0.697143,34.0,0.5406,313.76
robustness_noise_20,0.2,0.05,10,200,0.53,0.53,0.875,1.08,1.0,0.685714,34.0,0.550943,309.435
robustness_noise_20,0.2,0.15,1,200,0.475,0.475,0.875,1.415,1.0,0.84,34.0,0.428156,328.815
robustness_noise_20,0.2,0.15,5,200,0.5,0.5,0.875,1.215,1.0,0.822857,34.0,0.473244,320.375
robustness_noise_20,0.2,0.15,10,200,0.495,0.495,0.875,1.17,1.0,0.805714,34.0,0.49836,318.705
robustness_noise_20,0.2,0.3,1,200,0.47,0.47,0.875,1.975,2.0,0.902857,34.0,0.344778,351.28
robustness_noise_20,0.2,0.3,5,200,0.46,0.46,0.875,1.5,1.0,0.874286,34.0,0.402904,340.1
robustness_noise_20,0.2,0.3,10,200,0.475,0.475,0.875,1.33,1.0,0.834286,34.0,0.449621,326.69
robustness_noise_40,0.4,0.05,1,200,0.575,0.575,0.945,1.385,1.0,0.78836,18.0,0.6543,285.485
robustness_noise_40,0.4,0.05,5,200,0.605,0.605,0.945,1.29,1.0,0.719577,18.0,0.685387,275.705
robustness_noise_40,0.4,0.05,10,200,0.62,0.62,0.945,1.25,1.0,0.714286,18.0,0.701692,267.45
robustness_noise_40,0.4,0.15,1,200,0.52,0.52,0.945,2.22,2.0,0.920635,18.0,0.517309,312.47
robustness_noise_40,0.4,0.15,5,200,0.54,0.54,0.945,1.81,1.0,0.878307,18.0,0.601198,301.34
robustness_noise_40,0.4,0.15,10,200,0.57,0.57,0.945,1.475,1.0,0.835979,18.0,0.643593,289.46
robustness_noise_40,0.4,0.3,1,200,0.49,0.49,0.945,3.405,3.0,0.989418,18.0,0.376434,339.71
robustness_noise_40,0.4,0.3,5,200,0.495,0.495,0.945,2.355,2.0,0.941799,18.0,0.490342,318.435
robustness_noise_40,0.4,0.3,10,200,0.535,0.535,0.945,1.9,1.0,0.915344,18.0,0.570589,301.77
