benchmark,condition,noise_level,method,task_macro_success,success_ci_lower,success_ci_upper,worst_quartile_success,task_macro_intervention,delta_vs_act,delta_ci_lower,delta_ci_upper,task_count,episodes_per_task
MT10,robustness_noise_00,0.0,MT-MLP BC,0.914,0.8959500000000004,0.932,0.7200000000000001,0.0,-0.051999999999999935,-0.074,-0.030000000000000006,10,50
MT10,robustness_noise_00,0.0,MT-ACT,0.966,0.952,0.9800000000000001,0.8866666666666667,0.0,,,,10,50
MT10,robustness_noise_00,0.0,MT-ACT + Heuristic-Gated Learned Recovery,0.966,0.952,0.9780499999999993,0.8866666666666667,0.22200000000000003,0.0,-0.016,0.016,10,50
MT10,robustness_noise_00,0.0,MT-REIM,0.97,0.9560000000000001,0.984,0.9,0.466,0.0040000000000000036,0.0,0.01,10,50
MT10,robustness_noise_10,0.1,MT-MLP BC,0.024,0.012,0.038,0.0,0.0,-0.028000000000000004,-0.048,-0.008,10,50
MT10,robustness_noise_10,0.1,MT-ACT,0.052000000000000005,0.036,0.068,0.0,0.0,,,,10,50
MT10,robustness_noise_10,0.1,MT-ACT + Heuristic-Gated Learned Recovery,0.47800000000000004,0.446,0.5119999999999999,0.10666666666666667,0.8160000000000001,0.42600000000000005,0.392,0.45999999999999996,10,50
MT10,robustness_noise_10,0.1,MT-REIM,0.43,0.40395000000000014,0.45600000000000007,0.0,0.788,0.378,0.352,0.404,10,50
MT10,robustness_noise_20,0.2,MT-MLP BC,0.028000000000000004,0.016,0.042,0.0,0.0,-0.026000000000000002,-0.046,-0.005999999999999998,10,50
MT10,robustness_noise_20,0.2,MT-ACT,0.054000000000000006,0.038,0.07,0.0,0.0,,,,10,50
MT10,robustness_noise_20,0.2,MT-ACT + Heuristic-Gated Learned Recovery,0.47800000000000004,0.44399999999999995,0.512,0.12,0.8080000000000002,0.42400000000000004,0.38999999999999996,0.458,10,50
MT10,robustness_noise_20,0.2,MT-REIM,0.488,0.466,0.51,0.013333333333333334,0.86,0.434,0.41200000000000003,0.45600000000000007,10,50
MT10,robustness_noise_30,0.3,MT-MLP BC,0.032,0.018,0.046,0.0,0.0,-0.016,-0.036,0.004000000000000001,10,50
MT10,robustness_noise_30,0.3,MT-ACT,0.048,0.033999999999999996,0.064,0.0,0.0,,,,10,50
MT10,robustness_noise_30,0.3,MT-ACT + Heuristic-Gated Learned Recovery,0.458,0.426,0.49000000000000005,0.08,0.8019999999999999,0.41000000000000003,0.376,0.44400000000000006,10,50
MT10,robustness_noise_30,0.3,MT-REIM,0.506,0.484,0.528,0.02666666666666667,0.8960000000000001,0.458,0.43600000000000005,0.4800000000000001,10,50
MT10,robustness_noise_40,0.4,MT-MLP BC,0.030000000000000006,0.016,0.044000000000000004,0.0,0.0,-0.015999999999999993,-0.03799999999999999,0.005999999999999998,10,50
MT10,robustness_noise_40,0.4,MT-ACT,0.046,0.032,0.062,0.0,0.0,,,,10,50
MT10,robustness_noise_40,0.4,MT-ACT + Heuristic-Gated Learned Recovery,0.45,0.41600000000000004,0.484,0.08,0.798,0.404,0.37,0.438,10,50
MT10,robustness_noise_40,0.4,MT-REIM,0.554,0.5299500000000001,0.58,0.09333333333333332,0.9280000000000002,0.508,0.4800000000000001,0.5359999999999999,10,50
