run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,0,MT-MLP BC,0,0,0,500,00-0000-1dac5b84f83f,42,1dac5b84f83f96976194d0d3d188322435305e15b09a39b7d5d5464db1dee50a,0.0,-1,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,0,MT-ACT,0,0,0,500,00-0000-1dac5b84f83f,42,1dac5b84f83f96976194d0d3d188322435305e15b09a39b7d5d5464db1dee50a,0.0,-1,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,0,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,00-0000-1dac5b84f83f,42,1dac5b84f83f96976194d0d3d188322435305e15b09a39b7d5d5464db1dee50a,0.0,30,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,0,MT-REIM,0,1,0,500,00-0000-1dac5b84f83f,42,1dac5b84f83f96976194d0d3d188322435305e15b09a39b7d5d5464db1dee50a,0.7096108198165894,336,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,1,MT-MLP BC,0,0,0,500,00-0001-2bd32677110b,43,2bd32677110bc29581079b6e6d0cd45851457145fed70a11782c19aa16adac48,0.0,-1,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,1,MT-ACT,0,0,0,500,00-0001-2bd32677110b,43,2bd32677110bc29581079b6e6d0cd45851457145fed70a11782c19aa16adac48,0.0,-1,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,1,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,00-0001-2bd32677110b,43,2bd32677110bc29581079b6e6d0cd45851457145fed70a11782c19aa16adac48,0.0,30,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,1,MT-REIM,0,1,1,500,00-0001-2bd32677110b,43,2bd32677110bc29581079b6e6d0cd45851457145fed70a11782c19aa16adac48,0.7243602275848389,156,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,2,MT-MLP BC,0,0,0,500,00-0002-a5521edd85a4,44,a5521edd85a4bd0d2a7adfa63fafa325d532b18054ca77134f02144fa4057a3b,0.0,-1,1
02728677cf26fd322434bda0067b2c2f0d0479e93f23d5791d718889481393a1,MT50,robustness_noise_10,assembly-v3,0,2,MT-ACT,0,0,0,500,00-0002-a5521edd85a4,44,a5521edd85a4bd0d2a7adfa63fafa325d532b18054ca77134f02144fa4057a3b,0.0,-1,1
