run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count,recovery_steps_total
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,0,MT-MLP BC,0,0,0,500,00-0000-6cb4ac710c20,42,6cb4ac710c20f78664430d6704155c2f27c28bdbe1e5ade1a8c491d2d6c3a7bb,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,0,MT-ACT,0,0,0,500,00-0000-6cb4ac710c20,42,6cb4ac710c20f78664430d6704155c2f27c28bdbe1e5ade1a8c491d2d6c3a7bb,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,0,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0000-6cb4ac710c20,42,6cb4ac710c20f78664430d6704155c2f27c28bdbe1e5ade1a8c491d2d6c3a7bb,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,0,MT-REIM,0,0,0,500,00-0000-6cb4ac710c20,42,6cb4ac710c20f78664430d6704155c2f27c28bdbe1e5ade1a8c491d2d6c3a7bb,0.39011150598526,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,1,MT-MLP BC,0,0,0,500,00-0001-e3a6f7094379,43,e3a6f70943796101de423a16b2b94960d02bfbb7342e8a79e280487d1890df3b,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,1,MT-ACT,0,0,0,500,00-0001-e3a6f7094379,43,e3a6f70943796101de423a16b2b94960d02bfbb7342e8a79e280487d1890df3b,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,1,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0001-e3a6f7094379,43,e3a6f70943796101de423a16b2b94960d02bfbb7342e8a79e280487d1890df3b,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,1,MT-REIM,1,1,1,304,00-0001-e3a6f7094379,43,e3a6f70943796101de423a16b2b94960d02bfbb7342e8a79e280487d1890df3b,0.7344371676445007,269,1,35
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,2,MT-MLP BC,0,0,0,500,00-0002-e947ce85c17d,44,e947ce85c17df5e5abff8cc3eac92c45f123972c44a6c003dc1e055b72fb42a1,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,2,MT-ACT,0,0,0,500,00-0002-e947ce85c17d,44,e947ce85c17df5e5abff8cc3eac92c45f123972c44a6c003dc1e055b72fb42a1,0.0,-1,1,0
93126c29b8c500a8c9078c44501e496bd76f2fd05511a6382802e78d250f612c,MT10,robustness_noise_10,reach-v3,0,2,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0002-e947ce85c17d,44,e947ce85c17df5e5abff8cc3eac92c45f123972c44a6c003dc1e055b72fb42a1,0.0,-1,1,0
