run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count,recovery_steps_total
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,0,MT-MLP BC,0,0,0,500,00-0000-ae8ed8eed17a,42,ae8ed8eed17a08f57ce0726ab64b7f540756cfc9714e75da4154225f81f8e803,0.0,-1,1,0
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,0,MT-ACT,0,0,0,500,00-0000-ae8ed8eed17a,42,ae8ed8eed17a08f57ce0726ab64b7f540756cfc9714e75da4154225f81f8e803,0.0,-1,1,0
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,0,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,00-0000-ae8ed8eed17a,42,ae8ed8eed17a08f57ce0726ab64b7f540756cfc9714e75da4154225f81f8e803,0.0,30,1,407
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,0,MT-REIM,0,2,2,500,00-0000-ae8ed8eed17a,42,ae8ed8eed17a08f57ce0726ab64b7f540756cfc9714e75da4154225f81f8e803,0.9211229681968689,221,1,152
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,1,MT-MLP BC,0,0,0,500,00-0001-9302fb4069a7,43,9302fb4069a711eb181a792fbe7b121dfbf2efbb7c9748c7b51645047931d0f1,0.0,-1,1,0
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,1,MT-ACT,0,0,0,500,00-0001-9302fb4069a7,43,9302fb4069a711eb181a792fbe7b121dfbf2efbb7c9748c7b51645047931d0f1,0.0,-1,1,0
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,1,MT-ACT + Heuristic-Gated Learned Recovery,0,2,0,500,00-0001-9302fb4069a7,43,9302fb4069a711eb181a792fbe7b121dfbf2efbb7c9748c7b51645047931d0f1,0.0,30,1,422
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,1,MT-REIM,0,1,1,500,00-0001-9302fb4069a7,43,9302fb4069a711eb181a792fbe7b121dfbf2efbb7c9748c7b51645047931d0f1,0.7430940866470337,127,1,61
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,2,MT-MLP BC,0,0,0,500,00-0002-f3e4ce432490,44,f3e4ce4324906d7f58323525049128c77223ccb3cfa289a2eb5b5c1d12458f4c,0.0,-1,1,0
5da10e35fb0f4fcf2016886d5c4910363ba986dcaa507d61a36d834f84d23249,MT50,robustness_noise_30,assembly-v3,0,2,MT-ACT,0,0,0,500,00-0002-f3e4ce432490,44,f3e4ce4324906d7f58323525049128c77223ccb3cfa289a2eb5b5c1d12458f4c,0.0,-1,1,0
