event_offset,phase,samples,predicted_positive_samples,predicted_positive_rate,mean_probability,median_probability
-1,no_event_within_horizon,19390,3038,0.15667870036101084,0.13478672237755235,0.08240022510290146
0,current_event,31739,30533,0.9620025835722612,0.897928502561973,0.9918123483657837
1,strict_future_event,569,466,0.8189806678383128,0.6801294704452353,0.8922097682952881
2,strict_future_event,563,455,0.8081705150976909,0.6592671504838898,0.8666067719459534
3,strict_future_event,558,429,0.7688172043010753,0.6383065462857652,0.8089955151081085
4,strict_future_event,545,403,0.7394495412844037,0.6071726058037319,0.7463290095329285
5,strict_future_event,530,370,0.6981132075471698,0.5778922454177243,0.6928251087665558
6,strict_future_event,516,341,0.6608527131782945,0.5498049357872593,0.5740765035152435
7,strict_future_event,499,305,0.6112224448897795,0.514241671595603,0.449097216129303
8,strict_future_event,474,278,0.5864978902953587,0.475292788588104,0.3366279751062393
9,strict_future_event,447,238,0.5324384787472036,0.4272576804122819,0.24238097667694092
10,strict_future_event,423,213,0.5035460992907801,0.3900104008733909,0.20114347338676453
