method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Heuristic Recovery,0,8000042,metaworld,False,200,0.34019757700298214,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,14e48f83a083b78eb4af5dc37d02e21b04a314c3c31b36f5a62b13e4add4f2a5,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f82ceac6f8787ac22c378edc1f141cedcc86bf9309b43f1aff6633ae0a963abb,,,full,0.2,True
ACT + Heuristic Recovery,1,8000043,metaworld,True,60,0.13109522499871673,1,1,1,37,0.85,task_success_while_recovery_active_per_intervention,True,False,,5db0a8f9e6d6bd6ef5c15f040f9f154f255e36a365af820faa97ca3d60f4450f,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,full,0.2,True
ACT + Heuristic Recovery,2,8000044,metaworld,True,63,0.1238215779994789,1,1,1,43,0.85,task_success_while_recovery_active_per_intervention,True,False,,a465539695523fa7de2784bf02081a919b5a3de9a14c98e511df211c298c1ee2,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f6a9ed9055e00c868d6771022c2c557a6a48990bdacbed585d07cde857d4755a,,,full,0.2,True
ACT + Heuristic Recovery,3,8000045,metaworld,True,50,0.1135278220026521,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,126bd203ec38252825c8befe6f6198c98a7a024ba44c52618f3f3fe35078f4c6,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5d73f28d4d24cdbcb36a5e5cd61ec1a82f7287ce56d88da8cea912ed757b164c,,,full,0.2,True
ACT + Heuristic Recovery,4,8000046,metaworld,True,48,0.20355065400144667,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,4170194bcfe3841a7cfb0c3b09b2aa25f522a2c3b5ff3eb10715d8fce8c039a3,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,27e1ed8c670f23dae46752497e383610e58c248d638e3b9b707808a32ce33d4e,,,full,0.2,True
ACT + Heuristic Recovery,5,8000047,metaworld,True,53,0.11528253999858862,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,9fa661de69328d26c027384cf31722da103cd753d557e7a172d987d52fbc4d0a,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,38329c6b97bbe7d133bf007c22742dca5f0cd7258f8d7199135c6c2371ae591d,,,full,0.2,True
ACT + Heuristic Recovery,6,8000048,metaworld,True,53,0.11499409200041555,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,9c84beaab136edd4c1632709ff45c174ec3c717d220eaf94b7d668ee34962c9a,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,aba21ef1c98d0573e36116c9757115227fd3793cba96aea7eda95c2547314ca3,,,full,0.2,True
ACT + Heuristic Recovery,7,8000049,metaworld,True,55,0.23452692099817796,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,97ec25208265f89d11873f30142175e1e9164935e3849bfb439c16f9d0e10bba,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,4e97203f8ce1a96cef19545d4c4c300d0de39e4f94bd1941cef7ebc3dd48be02,,,full,0.2,True
ACT + Heuristic Recovery,8,8000050,metaworld,False,200,0.3374857939998037,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,8769fe32964b96f67dc224fb90afd6d8797de02464877632840a2ce91db8e4a8,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,64ee837add19202e84553431fdab118462cf5265eeae19a4d044b5a6818f771d,,,full,0.2,True
ACT + Heuristic Recovery,9,8000051,metaworld,True,56,0.23607378599990625,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,16fd46334c762cf781c8537208c1d9c4dd0181204c1ce7b3ac83d9e6d9d6f33e,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,,,full,0.2,True
ACT + Heuristic Recovery,10,8000052,metaworld,True,54,0.11696071299957111,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,4f3fb14aa7e8db1e8ccb3ee0be823a18ee391b9a93de96be600c72195fb4d5b4,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,504c23f653f6cdee9d659d9320b164606b319d4f0e9cdf0f3a87e2fc7a98160a,,,full,0.2,True
ACT + Heuristic Recovery,11,8000053,metaworld,False,200,0.3391289030005282,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,fe0db2c8aa66264f9560b08bdf6be0b6525e05ada642ed85cb141ac5e8f8069e,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,full,0.2,True
ACT + Heuristic Recovery,12,8000054,metaworld,True,51,0.11114570899735554,1,1,1,31,0.85,task_success_while_recovery_active_per_intervention,True,False,,fc927d94df69cca4afa4a7b379c8ccd356a7b601a898f93accdbe4b8522a04d9,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,,,full,0.2,True
ACT + Heuristic Recovery,13,8000055,metaworld,False,200,0.3325879840012931,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,73ca07205929864fb3976db97eb251eee24217110ff234855314e16dbe73d3d7,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,e216352c7f1c7392270c7c501bb599f2a46f420613a124fda0729ab88160cdf2,,,full,0.2,True
ACT + Heuristic Recovery,14,8000056,metaworld,True,59,0.11788338699989254,1,1,1,39,0.85,task_success_while_recovery_active_per_intervention,True,False,,4e4f19233a2a1078e55fc938d6c8ed524bf6d2a6ce9ca238d59275317ff0403d,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,64ee837add19202e84553431fdab118462cf5265eeae19a4d044b5a6818f771d,,,full,0.2,True
ACT + Heuristic Recovery,15,8000057,metaworld,True,51,0.11581025900159148,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,0274b408db235c17f1e98c2ddbd68d882a533d73d6492a6500df3efa4ae8d250,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,c40fedd273cade53989af8adc3ca66d02f2d92ca4d97b2f6391a0dd0ab6dbca3,,,full,0.2,True
ACT + Heuristic Recovery,16,8000058,metaworld,True,58,0.11825524899904849,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,a899d69383c7ae5c5ba4c88e8fc1244e0ac8260f029d876042b44598980a0baa,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,,,full,0.2,True
ACT + Heuristic Recovery,17,8000059,metaworld,True,57,0.11805717799870763,1,1,1,37,0.85,task_success_while_recovery_active_per_intervention,True,False,,d0e880776b41e9a7346c3b47514d531d86d209be30e687fe00a4827c90b28aa7,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,,,full,0.2,True
ACT + Heuristic Recovery,18,8000060,metaworld,True,59,0.11987628200222389,1,1,1,39,0.85,task_success_while_recovery_active_per_intervention,True,False,,2644e948ed889fe95e4fd4a6ed0788dc22ab06c85be67ed0b50d61b254adcf59,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,b8e45a2f8f553d53c6eef0305347f910b9999bcae6df6ccaf0eaee6ac864e670,,,full,0.2,True
ACT + Heuristic Recovery,19,8000061,metaworld,True,58,0.12843229099962628,1,1,1,35,0.85,task_success_while_recovery_active_per_intervention,True,False,,443ac5e35a84ec38bb96c2d12c88ca78502179195d8a15b9f452d95e41514b52,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,full,0.2,True
ACT + Heuristic Recovery,20,8000062,metaworld,True,53,0.227091101998667,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,c7d69573c4f76c60b75c060138d0756619c6361cd0935a166c3801181c86532e,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5e1df472084de78052388a34f03cad3de438ca9b5dc801b5759dd57c66a7482a,,,full,0.2,True
ACT + Heuristic Recovery,21,8000063,metaworld,True,57,0.24244964999888907,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,5e6e40c9dbc4d50ece5f16d594e2390170fba4f858df63efa6a872b6c1e468c3,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,,,full,0.2,True
ACT + Heuristic Recovery,22,8000064,metaworld,True,56,0.23920644799727597,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,dc058a3aec13295017acb9e064e07c8d6e960eb272b3ac74f9d9fe4e1f91f705,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,,,full,0.2,True
ACT + Heuristic Recovery,23,8000065,metaworld,False,200,0.3384778820000065,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,2468e85877d284d96fc63097ff010690ffa63ee3b783b18d988b43b9ef9e9fc4,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,39001749c902e2ab9d015efb8c7644faffff99810b709d3203dc359d5eacdcbd,,,full,0.2,True
ACT + Heuristic Recovery,24,8000066,metaworld,False,200,0.34065259500130196,1,0,1,150,0.85,task_success_while_recovery_active_per_intervention,False,True,timeout,c7b96f51ae8f4bd013faa30e9467a9ecae3ebf2ecc099f58b64e64f8347e02a1,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,56b7f182edcfeefa9301e1edd53d7f36e4418de7e6df1b54b0f0c298cde1b3cd,,,full,0.2,True
