method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Random Reset,0,8000042,metaworld,True,75,0.33311141100057284,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,14e48f83a083b78eb4af5dc37d02e21b04a314c3c31b36f5a62b13e4add4f2a5,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f82ceac6f8787ac22c378edc1f141cedcc86bf9309b43f1aff6633ae0a963abb,5fe3e750e5ff8cce228f236973a63187974af9d051760e1e15ed4f3a4b920edf,588df85fb38ef87f822932ad2f702be807974873e4a07ea43084bbdeeaac6604,full,0.2,True
ACT + Random Reset,1,8000043,metaworld,False,200,0.8690969799972663,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,5db0a8f9e6d6bd6ef5c15f040f9f154f255e36a365af820faa97ca3d60f4450f,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,c6e8e642569420238d7baf73acb1d9aba38a28b48f830c292a6eb091b4f305df,cea0b9105255f82e0ee99bfb3998a6edce02b446d4b14afb0747282cd18aa202,full,0.2,True
ACT + Random Reset,2,8000044,metaworld,True,69,0.30460594999749446,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,a465539695523fa7de2784bf02081a919b5a3de9a14c98e511df211c298c1ee2,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f6a9ed9055e00c868d6771022c2c557a6a48990bdacbed585d07cde857d4755a,49c33c3070a389d263a6a4b92f2d5fda9ea29451835e72e6c489b3afe0ba8c7c,35aa26efb4a8651c1d8f46a573d3d4fea76add87b5c76a00531e1cea9ad04412,full,0.2,True
ACT + Random Reset,3,8000045,metaworld,True,73,0.32264218099953723,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,126bd203ec38252825c8befe6f6198c98a7a024ba44c52618f3f3fe35078f4c6,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5d73f28d4d24cdbcb36a5e5cd61ec1a82f7287ce56d88da8cea912ed757b164c,84efdf08f1b28fae5607ddeac9b51baafd1a37cecee19d620155081e0bb49a0c,5e1df472084de78052388a34f03cad3de438ca9b5dc801b5759dd57c66a7482a,full,0.2,True
ACT + Random Reset,4,8000046,metaworld,True,48,0.2033769529989513,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,4170194bcfe3841a7cfb0c3b09b2aa25f522a2c3b5ff3eb10715d8fce8c039a3,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,27e1ed8c670f23dae46752497e383610e58c248d638e3b9b707808a32ce33d4e,,,full,0.2,True
ACT + Random Reset,5,8000047,metaworld,False,200,0.8523496839989093,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,9fa661de69328d26c027384cf31722da103cd753d557e7a172d987d52fbc4d0a,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,38329c6b97bbe7d133bf007c22742dca5f0cd7258f8d7199135c6c2371ae591d,ebc5e6fe23edd441dec76c3e68b711b05e422980247610d2ee8853f0be1db7c1,48ce9609a38b32e56f7e6a43ffef71c21c8b1d17ed5a63d47701bc1dfc3ff271,full,0.2,True
ACT + Random Reset,6,8000048,metaworld,True,80,0.3487426769970625,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,9c84beaab136edd4c1632709ff45c174ec3c717d220eaf94b7d668ee34962c9a,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,aba21ef1c98d0573e36116c9757115227fd3793cba96aea7eda95c2547314ca3,a5523b7f48f4bcd0e2eb1174a8974cb58562d900f0230d2270eae7e9116cefb2,39001749c902e2ab9d015efb8c7644faffff99810b709d3203dc359d5eacdcbd,full,0.2,True
ACT + Random Reset,7,8000049,metaworld,True,55,0.23507045400037896,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,97ec25208265f89d11873f30142175e1e9164935e3849bfb439c16f9d0e10bba,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,4e97203f8ce1a96cef19545d4c4c300d0de39e4f94bd1941cef7ebc3dd48be02,,,full,0.2,True
ACT + Random Reset,8,8000050,metaworld,True,73,0.32140381000135676,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,8769fe32964b96f67dc224fb90afd6d8797de02464877632840a2ce91db8e4a8,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,64ee837add19202e84553431fdab118462cf5265eeae19a4d044b5a6818f771d,c7bae454a0bfc003892a23536d3be49f14803223b19c402814e1bef7390a2669,71488b32995fa40c6ec3f77f6bcd912b1929aef29d90a66307ad46cd584acf29,full,0.2,True
ACT + Random Reset,9,8000051,metaworld,True,56,0.2391171339986613,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,16fd46334c762cf781c8537208c1d9c4dd0181204c1ce7b3ac83d9e6d9d6f33e,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,,,full,0.2,True
