method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile,Benchmark Eligible
ACT,0,8000042,metaworld,True,52,0.6161949769993953,0,0,0,0,0.0,,True,False,,9ba54a97dc3eac62ffa2b357787e968094e2f2842296ee4666f4a97a6693d10e,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,f82ceac6f8787ac22c378edc1f141cedcc86bf9309b43f1aff6633ae0a963abb,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,1,8000043,metaworld,True,58,0.6848162039968884,0,0,0,0,0.0,,True,False,,942b7497eca1d94ea0ea857f061878f8e29d06be84b300c8318d89cfd4a09f6b,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,2,8000044,metaworld,True,56,0.6669234900000447,0,0,0,0,0.0,,True,False,,5f706161b26f51d35c050ebf5cc409cf8c7a0c05b1f726efd3c01d090ae182c1,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,f6a9ed9055e00c868d6771022c2c557a6a48990bdacbed585d07cde857d4755a,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,3,8000045,metaworld,True,47,0.4813737789991137,0,0,0,0,0.0,,True,False,,3aca22348cc4bd86219b19040a17a200f8fd4420480e0a152b9fae69d80a0cc7,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,5d73f28d4d24cdbcb36a5e5cd61ec1a82f7287ce56d88da8cea912ed757b164c,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,4,8000046,metaworld,True,47,0.2696101930014265,0,0,0,0,0.0,,True,False,,fdafe38f302faae633d586e6bd90b15c8d220578504caa59c11eddbc052f1e95,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,27e1ed8c670f23dae46752497e383610e58c248d638e3b9b707808a32ce33d4e,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,5,8000047,metaworld,True,52,0.30265251400123816,0,0,0,0,0.0,,True,False,,66cf1bbb8f757c669b22e53df9385050cecd2abf03e5763c572f4f154c4bb733,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,38329c6b97bbe7d133bf007c22742dca5f0cd7258f8d7199135c6c2371ae591d,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,6,8000048,metaworld,True,52,0.2865573269991728,0,0,0,0,0.0,,True,False,,cf76f6163b26ceadcf21b1579e5dca8f2f944d4805ceb877046fc2b5645ce7ab,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,aba21ef1c98d0573e36116c9757115227fd3793cba96aea7eda95c2547314ca3,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,7,8000049,metaworld,True,55,0.315022296999814,0,0,0,0,0.0,,True,False,,585b6e1458515f1c8a269bbd73fe91eabbd1415f31d1c16ba61d5cc24fa310ab,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,4e97203f8ce1a96cef19545d4c4c300d0de39e4f94bd1941cef7ebc3dd48be02,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,8,8000050,metaworld,True,54,0.3088474420001148,0,0,0,0,0.0,,True,False,,6492aebf3511ceb11e67136af0cf4adf140a5440e79d5aed25c0bffd3f33065a,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,64ee837add19202e84553431fdab118462cf5265eeae19a4d044b5a6818f771d,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,9,8000051,metaworld,True,56,0.3270161710024695,0,0,0,0,0.0,,True,False,,38b46e095083779d7eab868163137f8a167783471ea6d040b00138773a03ef7b,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,10,8000052,metaworld,True,50,0.38459372100260225,0,0,0,0,0.0,,True,False,,462b69b8c294978830cb0ab7e7c3c80eacaf079671772ffceb40ed6f33ea57dd,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,504c23f653f6cdee9d659d9320b164606b319d4f0e9cdf0f3a87e2fc7a98160a,,,0.0,0.0,0.0,0.0,0.0,0,full,True
