method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
ACT + RL Recovery,0,6200042,metaworld,True,59,0.10314066199862282,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,1,6200043,metaworld,True,54,0.1798507259991311,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,2,6200044,metaworld,True,55,0.0953057959995931,1,1,1,35,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,3,6200045,metaworld,True,54,0.0982498299999861,1,1,1,34,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,4,6200046,metaworld,True,53,0.09420017599768471,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,5,6200047,metaworld,True,63,0.20859546700012288,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,6,6200048,metaworld,False,200,0.2809784809978737,1,0,1,150,0.9,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
ACT + RL Recovery,7,6200049,metaworld,True,66,0.10516330699829268,1,1,1,46,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,8,6200050,metaworld,True,55,0.1808328619990789,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,9,6200051,metaworld,True,60,0.10452864800026873,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,10,6200052,metaworld,True,47,0.09336713399898144,1,1,1,25,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,11,6200053,metaworld,True,54,0.17922715299937408,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,12,6200054,metaworld,True,46,0.08692090200202074,1,1,1,26,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,13,6200055,metaworld,True,53,0.17718029300158378,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,14,6200056,metaworld,True,56,0.09557766000216361,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,15,6200057,metaworld,True,43,0.06219301099918084,1,1,1,32,1.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,16,6200058,metaworld,True,47,0.0890561300002446,1,1,1,27,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
ACT + RL Recovery,17,6200059,metaworld,True,58,0.09685388700017938,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
