method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
REIM (ACT + Detector + Recovery),0,4500042,metaworld,True,49,0.9737448979994952,1,1,1,25,0.21103471517562866,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),1,4500043,metaworld,True,59,0.42907317400022293,0,0,0,0,0.17117148637771606,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),2,4500044,metaworld,True,46,0.432962236000094,1,1,1,37,0.2510908544063568,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),3,4500045,metaworld,True,56,0.9061561329999677,1,1,1,41,0.24365194141864777,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),4,4500046,metaworld,True,53,0.4945133969995368,0,0,0,0,0.16472822427749634,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),5,4500047,metaworld,True,65,0.6960846199999651,1,1,1,55,0.3458090126514435,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),6,4500048,metaworld,True,49,0.5911030560000654,1,1,1,39,0.31159707903862,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),7,4500049,metaworld,False,200,2.3574951850005164,1,0,1,150,0.9422959685325623,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),8,4500050,metaworld,True,62,0.41019320899977174,1,1,1,39,0.2129192054271698,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),9,4500051,metaworld,True,55,0.2508275370000774,0,0,0,0,0.15227313339710236,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),10,4500052,metaworld,True,60,0.3638730479997321,1,1,1,46,0.2185252606868744,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),11,4500053,metaworld,True,50,0.32252266999967105,1,1,1,38,0.25620853900909424,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),12,4500054,metaworld,True,55,0.30998275999991165,0,0,0,0,0.11999092996120453,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),13,4500055,metaworld,True,48,0.266905405000216,0,0,0,0,0.18592429161071777,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),14,4500056,metaworld,True,52,0.37802393400124856,1,1,1,45,0.4428808391094208,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),15,4500057,metaworld,True,57,0.2615884819988423,0,0,0,0,0.11573033779859543,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),16,4500058,metaworld,True,49,0.21745965799891565,0,0,0,0,0.18723265826702118,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),17,4500059,metaworld,True,62,0.5808416660001967,1,1,1,46,0.2295713722705841,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),18,4500060,metaworld,True,54,0.24863588100015477,0,0,0,0,0.10351785272359848,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),19,4500061,metaworld,True,55,0.34105438600090565,0,0,0,0,0.18939483165740967,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),20,4500062,metaworld,True,53,0.4288395090006816,1,1,1,37,0.2643817961215973,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),21,4500063,metaworld,True,59,0.39371858699996665,1,1,1,48,0.3224431574344635,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),22,4500064,metaworld,True,49,0.4453831190003257,0,0,0,0,0.15538787841796875,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),23,4500065,metaworld,True,58,0.4861146690000169,1,1,1,47,0.31009501218795776,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),24,4500066,metaworld,True,57,0.49770618900038244,1,1,1,36,0.20939482748508453,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),25,4500067,metaworld,True,50,0.47948344300129975,0,0,0,0,0.17806114256381989,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),26,4500068,metaworld,True,51,0.43164928700025484,1,1,1,33,0.3020515441894531,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),27,4500069,metaworld,True,59,0.533652856000117,1,1,1,30,0.20693758130073547,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),28,4500070,metaworld,True,57,0.4964632229985,1,1,1,42,0.27141064405441284,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),29,4500071,metaworld,True,56,0.6553121439992537,1,1,1,37,0.2731810212135315,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),30,4500072,metaworld,True,52,0.4581328989988833,0,0,0,0,0.13011714816093445,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),31,4500073,metaworld,True,53,0.5266646759992,0,0,0,0,0.18460708856582642,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),32,4500074,metaworld,True,60,0.269300697998915,0,0,0,0,0.18677672743797302,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),33,4500075,metaworld,True,61,0.3570754840002337,1,1,1,37,0.2280508577823639,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),34,4500076,metaworld,True,48,0.2866063710007438,1,1,1,34,0.21576359868049622,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),35,4500077,metaworld,True,54,0.2733768529997178,0,0,0,0,0.16791225969791412,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),36,4500078,metaworld,True,56,0.24541733099977137,0,0,0,0,0.11660203337669373,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),37,4500079,metaworld,True,57,0.3603795729995909,1,1,1,41,0.20882196724414825,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),38,4500080,metaworld,False,200,1.3491345239999646,1,0,1,150,0.9880605340003967,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),39,4500081,metaworld,False,200,2.0603397710001445,1,0,1,150,0.9994388222694397,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2
REIM (ACT + Detector + Recovery),40,4500082,metaworld,True,58,0.48563256499983254,1,1,1,41,0.3320745527744293,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),41,4500083,metaworld,False,200,1.3343240230005904,1,0,1,150,0.9989467263221741,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2
REIM (ACT + Detector + Recovery),42,4500084,metaworld,True,56,0.2754987540010916,0,0,0,0,0.16222038865089417,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),43,4500085,metaworld,True,47,0.21945838400097273,0,0,0,0,0.17466388642787933,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),44,4500086,metaworld,True,58,0.3811157310010458,0,0,0,0,0.1584777534008026,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),45,4500087,metaworld,True,55,0.37854826799957664,1,1,1,24,0.225816547870636,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),46,4500088,metaworld,True,51,0.2213914889998705,0,0,0,0,0.1770199090242386,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),47,4500089,metaworld,True,52,0.3865886160001537,1,1,1,38,0.2857005298137665,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),48,4500090,metaworld,True,56,0.3708782810008415,1,1,1,34,0.25000378489494324,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),49,4500091,metaworld,True,51,0.5319957859992428,1,1,1,44,0.5806010961532593,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),50,4500092,metaworld,True,59,0.26012674999947194,0,0,0,0,0.15694409608840942,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),51,4500093,metaworld,True,49,0.2841427470011695,0,0,0,0,0.13403955101966858,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),52,4500094,metaworld,True,52,0.3156431059996976,1,1,1,41,0.2519382834434509,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),53,4500095,metaworld,True,50,0.4321143800007121,0,0,0,0,0.15583106875419617,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),54,4500096,metaworld,True,55,0.6206623040015984,1,1,1,45,0.24848614633083344,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),55,4500097,metaworld,True,57,0.3973960010007431,0,0,0,0,0.11824604123830795,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),56,4500098,metaworld,True,51,0.31755918099952396,1,1,1,37,0.24445940554141998,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),57,4500099,metaworld,True,63,0.35904931199911516,1,1,1,35,0.2126719206571579,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),58,4500100,metaworld,True,63,0.41197527199983597,1,1,1,52,0.28574132919311523,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),59,4500101,metaworld,True,61,0.2663047930000175,0,0,0,0,0.1999773234128952,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),60,4500102,metaworld,True,54,0.334454748999633,1,1,1,33,0.21302388608455658,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),61,4500103,metaworld,False,200,1.2752114479990269,1,0,1,150,0.9696603417396545,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),62,4500104,metaworld,True,60,0.2726216499995644,0,0,0,0,0.18312276899814606,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
