method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,terminated,truncated,failure_reason,Profile,noise_level
REIM (ACT + Detector + Recovery),0,4500042,metaworld,True,49,0.383388535999984,1,1,1,25,0.21101564168930054,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),1,4500043,metaworld,True,59,0.19384602100035409,0,0,0,0,0.17117148637771606,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),2,4500044,metaworld,True,55,0.1782908650002355,1,1,1,46,0.2768925130367279,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),3,4500045,metaworld,True,55,0.17947429299965734,1,1,1,40,0.2435978651046753,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),4,4500046,metaworld,True,53,0.17800407400136464,0,0,0,0,0.16472822427749634,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),5,4500047,metaworld,False,200,0.4982289990002755,1,0,1,150,0.36045145988464355,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),6,4500048,metaworld,True,47,0.14808020900090924,1,1,1,37,0.2967740595340729,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),7,4500049,metaworld,False,200,0.4506108770001447,1,0,1,150,0.7958755493164062,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),8,4500050,metaworld,True,64,0.1424060310000641,1,1,1,41,0.21298812329769135,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),9,4500051,metaworld,True,55,0.14256195300004038,0,0,0,0,0.15227313339710236,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),10,4500052,metaworld,True,59,0.1292893579993688,1,1,1,45,0.21750663220882416,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),11,4500053,metaworld,True,46,0.10296451999965939,1,1,1,34,0.2578030228614807,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),12,4500054,metaworld,True,55,0.1457091109987232,0,0,0,0,0.11999092996120453,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),13,4500055,metaworld,True,48,0.1258903170000849,0,0,0,0,0.18592429161071777,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),14,4500056,metaworld,True,50,0.10775156300041999,1,1,1,43,0.44044432044029236,True,False,,custom,0.2
