benchmark,condition,method,paired_episodes,intervened_episode_rate,recovery_occupancy_mean,mean_segment_length,interventions_per_episode_mean,interventions_per_episode_median,max_interventions_in_episode,trigger_step_median,clean_release_rate,rescued_vs_act,harmed_vs_act
MT10,official_clean,heuristic_recovery,500,0.222,0.1321,120.1176,0.238,0.0,2,30,0.6303,9,9
MT10,official_clean,reim,500,0.466,0.1889,33.3734,0.466,0.0,1,43,1.0,2,0
MT10,robustness_noise_00,heuristic_recovery,500,0.222,0.1321,120.1176,0.238,0.0,2,30,0.6303,9,9
MT10,robustness_noise_00,reim,500,0.466,0.1889,33.3734,0.466,0.0,1,43,1.0,2,0
MT10,robustness_noise_10,heuristic_recovery,500,0.816,0.4962,158.6728,1.088,1.0,2,55.5,0.4154,213,0
MT10,robustness_noise_10,reim,500,0.788,0.3939,120.6009,0.922,1.0,2,122.0,0.5228,202,0
MT10,robustness_noise_20,heuristic_recovery,500,0.808,0.4931,158.6574,1.074,1.0,2,54.0,0.4153,212,0
MT10,robustness_noise_20,reim,500,0.86,0.5482,123.0881,1.044,1.0,2,36.0,0.5479,242,0
MT10,robustness_noise_30,heuristic_recovery,500,0.802,0.4824,157.4953,1.054,1.0,2,57,0.4118,205,0
MT10,robustness_noise_30,reim,500,0.896,0.6153,123.5364,1.126,1.0,3,23.5,0.5719,265,0
MT10,robustness_noise_40,heuristic_recovery,500,0.798,0.4791,159.0875,1.052,1.0,2,56,0.4068,202,0
MT10,robustness_noise_40,reim,500,0.928,0.6903,128.9984,1.218,1.0,5,17.0,0.5567,284,0
MT50,official_clean,heuristic_recovery,2500,0.1732,0.1039,135.7356,0.2088,0.0,2,50,0.5057,78,11
MT50,official_clean,reim,2500,0.2844,0.1658,74.7341,0.3024,0.0,2,33,0.8214,33,32
MT50,robustness_noise_00,heuristic_recovery,2500,0.1732,0.1039,135.7356,0.2088,0.0,2,50,0.5057,78,11
MT50,robustness_noise_00,reim,2500,0.2844,0.1658,74.7341,0.3024,0.0,2,33,0.8214,33,32
MT50,robustness_noise_10,heuristic_recovery,2500,0.934,0.6078,176.3302,1.3652,1.0,2,46,0.2441,851,4
MT50,robustness_noise_10,reim,2500,0.864,0.4524,132.6054,1.0876,1.0,3,115.0,0.4355,806,7
MT50,robustness_noise_20,heuristic_recovery,2500,0.9368,0.6066,178.2551,1.3532,1.0,2,46.0,0.2453,837,4
MT50,robustness_noise_20,reim,2500,0.9308,0.5428,124.0196,1.2868,1.0,4,65,0.4859,1008,0
MT50,robustness_noise_30,heuristic_recovery,2500,0.9288,0.6017,177.64,1.3588,1.0,2,47.0,0.2358,814,3
MT50,robustness_noise_30,reim,2500,0.97,0.6127,121.0829,1.4484,1.0,5,38,0.52,1112,3
MT50,robustness_noise_40,heuristic_recovery,2500,0.9292,0.5971,179.3675,1.3496,1.0,2,48,0.2327,801,2
MT50,robustness_noise_40,reim,2500,0.9856,0.6711,119.3015,1.552,1.0,5,19.5,0.55,1195,0
