method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7000042,metaworld,True,71,0.3625593330034462,1,1,1,63,0.458539754152298,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7000043,metaworld,True,56,0.1303351870010374,1,1,1,37,0.28862980008125305,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7000044,metaworld,True,45,0.10642987499886658,1,1,1,22,0.22969111800193787,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7000045,metaworld,True,46,0.10741703700114158,1,1,1,30,0.2675551772117615,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7000046,metaworld,True,54,0.12559254500229144,0,0,0,0,0.17543932795524597,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7000047,metaworld,True,57,0.13450761400235933,0,0,0,0,0.15918567776679993,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7000048,metaworld,True,55,0.13039996500083362,1,1,1,45,0.21542277932167053,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7000049,metaworld,True,55,0.13019536800129572,1,1,1,34,0.2066878378391266,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7000050,metaworld,True,81,0.2230672660007258,1,1,1,72,0.2925887703895569,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7000051,metaworld,True,69,0.19071629200334428,1,1,1,37,0.22461843490600586,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7000052,metaworld,True,51,0.1392797199987399,0,0,0,0,0.13089080154895782,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7000053,metaworld,True,52,0.14326905899724807,0,0,0,0,0.18435904383659363,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),12,7000054,metaworld,True,56,0.13645233100032783,1,1,1,40,0.4039407968521118,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),13,7000055,metaworld,True,63,0.18362620499829063,0,0,0,0,0.18792960047721863,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7000056,metaworld,True,53,0.1479581120001967,1,1,1,36,0.2156914472579956,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
