method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
REIM (ACT + Detector + Recovery),0,7000042,metaworld,True,64,0.351757558000827,1,1,1,56,0.44490543007850647,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),1,7000043,metaworld,True,52,0.12930241800131625,1,1,1,33,0.28898367285728455,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),2,7000044,metaworld,True,44,0.11139483399892924,1,1,1,21,0.2301485240459442,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),3,7000045,metaworld,True,44,0.11636442899907706,1,1,1,28,0.26857906579971313,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),4,7000046,metaworld,True,54,0.14070148300015717,0,0,0,0,0.17543932795524597,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),5,7000047,metaworld,True,57,0.14143630000035046,0,0,0,0,0.15918567776679993,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),6,7000048,metaworld,True,53,0.12610232700171764,1,1,1,43,0.21406522393226624,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),7,7000049,metaworld,True,54,0.1311497969982156,1,1,1,33,0.2066878378391266,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),8,7000050,metaworld,False,200,0.4980556020018412,1,0,1,150,0.9989985823631287,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2
REIM (ACT + Detector + Recovery),9,7000051,metaworld,True,61,0.23469047999969916,1,1,1,29,0.22461843490600586,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),10,7000052,metaworld,True,51,0.23183390600024723,0,0,0,0,0.13089080154895782,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),11,7000053,metaworld,True,52,0.14447109899992938,0,0,0,0,0.18435904383659363,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
