method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7000042,metaworld,True,73,0.38549964699996053,1,1,1,65,0.3494243621826172,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7000043,metaworld,True,54,0.1340126240029349,1,1,1,35,0.2863185703754425,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7000044,metaworld,True,46,0.11441508899952169,1,1,1,23,0.2300156205892563,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7000045,metaworld,True,47,0.11719954200088978,1,1,1,31,0.26755890250205994,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7000046,metaworld,True,54,0.13767124799778685,0,0,0,0,0.17543932795524597,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7000047,metaworld,True,57,0.14749766800014186,0,0,0,0,0.15918567776679993,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7000048,metaworld,True,58,0.1459018079985981,1,1,1,48,0.21204717457294464,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7000049,metaworld,True,55,0.14233782200244605,1,1,1,34,0.2066878378391266,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7000050,metaworld,True,73,0.1835879699974612,1,1,1,64,0.24383345246315002,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7000051,metaworld,True,63,0.16316020199883496,1,1,1,31,0.22461843490600586,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7000052,metaworld,True,51,0.1341118739983358,0,0,0,0,0.13089080154895782,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7000053,metaworld,True,52,0.13583174900122685,0,0,0,0,0.18435904383659363,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),12,7000054,metaworld,True,59,0.14452140700086602,1,1,1,43,0.3900907039642334,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),13,7000055,metaworld,True,63,0.16228362999754609,0,0,0,0,0.18792960047721863,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7000056,metaworld,True,55,0.13489500200012117,1,1,1,38,0.2142675220966339,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),15,7000057,metaworld,False,200,0.47558179900079267,1,0,1,150,0.9939723610877991,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),16,7000058,metaworld,False,200,0.3770688140029961,1,0,1,149,0.9496344327926636,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),17,7000059,metaworld,True,48,0.11049698900023941,0,0,0,0,0.181013286113739,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),18,7000060,metaworld,True,53,0.1209441169994534,0,0,0,0,0.19289538264274597,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),19,7000061,metaworld,True,60,0.11223685300137731,1,1,1,52,0.3581293821334839,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),20,7000062,metaworld,True,52,0.12076332899960107,0,0,0,0,0.1913243979215622,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),21,7000063,metaworld,True,52,0.10315924899987294,1,1,1,36,0.2817656397819519,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
