method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7000042,metaworld,True,73,0.5199451159987802,1,1,1,65,0.3494243621826172,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7000043,metaworld,True,54,0.25508586399882915,1,1,1,35,0.2863185703754425,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7000044,metaworld,True,46,0.15473276999910013,1,1,1,23,0.2300156205892563,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7000045,metaworld,True,47,0.19502726800055825,1,1,1,31,0.26755890250205994,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7000046,metaworld,True,54,0.18722933999924862,0,0,0,0,0.17543932795524597,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7000047,metaworld,True,57,0.19782296899938956,0,0,0,0,0.15918567776679993,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7000048,metaworld,True,58,0.19551267399947392,1,1,1,48,0.21204717457294464,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7000049,metaworld,True,55,0.28537232899907394,1,1,1,34,0.2066878378391266,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7000050,metaworld,True,73,0.6993863190000411,1,1,1,64,0.24383345246315002,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7000051,metaworld,True,63,0.508143774999553,1,1,1,31,0.22461843490600586,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7000052,metaworld,True,51,0.1883130770002026,0,0,0,0,0.13089080154895782,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7000053,metaworld,True,52,0.1870958139988943,0,0,0,0,0.18435904383659363,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),12,7000054,metaworld,True,59,0.30141769500005466,1,1,1,43,0.3900907039642334,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),13,7000055,metaworld,True,63,0.23334577999958128,0,0,0,0,0.18792960047721863,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7000056,metaworld,True,55,0.4964409509993857,1,1,1,38,0.2142675220966339,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),15,7000057,metaworld,False,200,1.3764679949999845,1,0,1,150,0.9939723610877991,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),16,7000058,metaworld,False,200,1.6662833279988263,1,0,1,149,0.9496344327926636,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),17,7000059,metaworld,True,48,0.2606059700010519,0,0,0,0,0.181013286113739,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),18,7000060,metaworld,True,53,0.3216451079988474,0,0,0,0,0.19289538264274597,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),19,7000061,metaworld,True,60,1.1001078160006728,1,1,1,52,0.3581293821334839,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),20,7000062,metaworld,True,52,0.21305714799927955,0,0,0,0,0.1913243979215622,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),21,7000063,metaworld,True,52,0.3844954810010677,1,1,1,36,0.2817656397819519,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),22,7000064,metaworld,False,200,1.6765160730010393,1,0,1,150,0.9952072501182556,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),23,7000065,metaworld,True,53,0.3468355229997542,1,1,1,26,0.21326488256454468,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),24,7000066,metaworld,True,66,0.2735568450007122,0,0,0,0,0.1891559362411499,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),25,7000067,metaworld,True,52,0.2282149440015928,0,0,0,0,0.16577327251434326,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),26,7000068,metaworld,True,53,0.570086170999275,1,1,1,42,0.3279034495353699,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),27,7000069,metaworld,True,52,0.5293116430002556,1,1,1,33,0.20651556551456451,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),28,7000070,metaworld,True,49,0.2665673190003872,0,0,0,0,0.1707344353199005,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),29,7000071,metaworld,True,51,0.4848866639986227,0,0,0,0,0.1550283282995224,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),30,7000072,metaworld,True,60,0.34125212999970245,0,0,0,0,0.12687113881111145,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),31,7000073,metaworld,True,53,0.5543811860006826,1,1,1,41,0.2538941502571106,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
