method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7800042,metaworld,True,58,0.24913902299886104,0,0,0,0,0.14749251306056976,task_success_while_recovery_active_per_intervention,True,False,,70d4ebffdc914bb4d692ffb1695c3a3ad7e196077f47514adaac30d570adf9fe,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,9757d6cd0e1a868e58dfd3f5f136b6bc0545f602740599df9c9fd33f3b15c8b2,,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7800043,metaworld,True,58,0.24619251300100586,0,0,0,0,0.19760751724243164,task_success_while_recovery_active_per_intervention,True,False,,a867df0de73f91426ea4af25208b948d285d925dbe3774de4ad1aa4bb38b9257,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,63b1efc765f13e1d2e3b881aebb6c442aef948354f2d39bede3ddcef90de65ac,,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7800044,metaworld,True,55,0.23398083899883204,0,0,0,0,0.1638038456439972,task_success_while_recovery_active_per_intervention,True,False,,65fbf8356335d7a4168c902cb27cfcd7a80f8ecd9d961655a4b934a108cf720c,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,a8741d294b223533f48b132ab8a68cd3039f1001af71d5d54fb9e733ed351150,,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7800045,metaworld,True,55,0.1718620510000619,1,1,1,23,0.2275019884109497,task_success_while_recovery_active_per_intervention,True,False,,4e14d66cb0fc8c660ec2bb9939d991878ca96872944e68f1c8bcbf52d5daa146,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,2d636d7465f9601c2842f8b47b9b3974abb56af3bfdfeb490f4bfcde033de520,,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7800046,metaworld,True,43,0.11858377599855885,1,1,1,23,0.20312488079071045,task_success_while_recovery_active_per_intervention,True,False,,8831f203fbd4f97dd1c5f48a5d6bbc75fe0d4c7864548f7282b15c0e6a53750d,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,068211c77e35daaec3f5c89aee3861e08fd27a768b26a15e69e6306c28e8e6ca,,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7800047,metaworld,True,45,0.1900455190007051,0,0,0,0,0.18770864605903625,task_success_while_recovery_active_per_intervention,True,False,,a7ce22b0a80b0221c1d14bdbb55b769f6a470d84b2a9c9cda91a2c2d7741845a,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,7236ef847d9c4c4f78b5c9e68bc97567c1040da0513b6a6f79b2ec6b7a0f39c8,,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7800048,metaworld,False,200,0.4395374460000312,1,0,1,150,0.9914583563804626,task_success_while_recovery_active_per_intervention,False,True,timeout,a2f5d125275c5718d121fa8396c3880fcb79c37cc6171b63913b882411a787dd,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,16832370db7822558f35d3c6a54b38bbc08e392a2f35fa3113f7c30a065a9ee6,,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7800049,metaworld,True,55,0.12154170099893236,1,1,1,45,0.31212466955184937,task_success_while_recovery_active_per_intervention,True,False,,481a6031abbac81bea9a22652893c7407d32cc7cb252bafd7bb69405e6eb020f,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,5d1fe4363310905b5179f6992b53922760c1562eeba7f942264cffc81d70793c,,,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7800050,metaworld,True,55,0.24229046699838364,0,0,0,0,0.1803562492132187,task_success_while_recovery_active_per_intervention,True,False,,1f4c470bd8c74225f84baed46d4bff8a9db35b1b01e9ddb465d2bb4040400b69,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,2d636d7465f9601c2842f8b47b9b3974abb56af3bfdfeb490f4bfcde033de520,,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7800051,metaworld,True,48,0.1331730849997257,1,1,1,25,0.21464842557907104,task_success_while_recovery_active_per_intervention,True,False,,d56157c8ec9d6d20359e1237e9009128c69ca464e8f13f06b7ea92117de6fff8,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,60ddb994ff576f8dd62245f3bfb1d17936d6aa1545245d63e09397449cd519a6,,,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7800052,metaworld,True,62,0.26039826100168284,0,0,0,0,0.1952335238456726,task_success_while_recovery_active_per_intervention,True,False,,564c612c19552bd4a6ca253f0bf60f2d4bb0f9edfb247867f615161df0996824,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,4c9e7054af4fb8537aaadbe68a55d7c002a07c5a91d4da10d2eeb0360a554571,,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7800053,metaworld,True,48,0.13501900200208183,1,1,1,25,0.2015802264213562,task_success_while_recovery_active_per_intervention,True,False,,7a3dbf7d40acff8d80e74a8a98eaf7185f6f475bf8068b366ee279ce4f740e64,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,3e9672a9efbfd098fcc245b200361c490b106bbd59af036de944b15f813ac725,,,custom,0.2,False
