horizon,condition,detector_f1,detector_precision,detector_recall,detector_positive_fraction,task_macro_success,intervention_rate,interventions_per_episode,recovery_success_rate,recovery_occupancy,rescued_vs_act,harmed_vs_act
0,official_clean,0.5828,0.4783,0.7456,0.2162,0.972,0.574,0.578,0.9896,0.3848,4,1
0,robustness_noise_10,0.5828,0.4783,0.7456,0.2162,0.49,0.824,1.032,0.7558,0.4726,220,1
0,robustness_noise_40,0.5828,0.4783,0.7456,0.2162,0.598,0.952,1.562,0.799,0.6348,278,2
10,official_clean,0.5769,0.4837,0.7144,0.2444,0.968,0.504,0.506,0.9921,0.3173,2,1
10,robustness_noise_10,0.5769,0.4837,0.7144,0.2444,0.478,0.832,1.018,0.6287,0.4859,214,1
10,robustness_noise_40,0.5769,0.4837,0.7144,0.2444,0.614,0.966,1.354,0.6352,0.7068,285,1
25,official_clean,0.5736,0.4896,0.6925,0.2664,0.97,0.466,0.466,1.0,0.1889,2,0
25,robustness_noise_10,0.5736,0.4896,0.6925,0.2664,0.456,0.788,0.922,0.5228,0.3939,202,0
25,robustness_noise_40,0.5736,0.4896,0.6925,0.2664,0.614,0.928,1.218,0.5567,0.6903,284,0
50,official_clean,0.5912,0.5227,0.6804,0.3006,0.968,0.54,0.542,0.9926,0.2222,2,1
50,robustness_noise_10,0.5912,0.5227,0.6804,0.3006,0.422,0.8,0.976,0.4611,0.3619,185,0
50,robustness_noise_40,0.5912,0.5227,0.6804,0.3006,0.592,0.942,1.254,0.5407,0.6646,273,0
