run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count,recovery_steps_total
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,0,MT-MLP BC,0,0,0,500,00-0000-544af2449e9a,42,544af2449e9add2b9cd16d9f72aa365fa18c03ef5e1391e8b7a8eab1c928d2d5,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,0,MT-ACT,0,0,0,500,00-0000-544af2449e9a,42,544af2449e9add2b9cd16d9f72aa365fa18c03ef5e1391e8b7a8eab1c928d2d5,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,0,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0000-544af2449e9a,42,544af2449e9add2b9cd16d9f72aa365fa18c03ef5e1391e8b7a8eab1c928d2d5,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,0,MT-REIM,0,0,0,500,00-0000-544af2449e9a,42,544af2449e9add2b9cd16d9f72aa365fa18c03ef5e1391e8b7a8eab1c928d2d5,0.6082542538642883,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,1,MT-MLP BC,0,0,0,500,00-0001-96a17741a324,43,96a17741a324c195de87602cf847511c415b9d2824c6debe59d90bb5118c3390,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,1,MT-ACT,0,0,0,500,00-0001-96a17741a324,43,96a17741a324c195de87602cf847511c415b9d2824c6debe59d90bb5118c3390,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,1,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0001-96a17741a324,43,96a17741a324c195de87602cf847511c415b9d2824c6debe59d90bb5118c3390,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,1,MT-REIM,0,2,0,500,00-0001-96a17741a324,43,96a17741a324c195de87602cf847511c415b9d2824c6debe59d90bb5118c3390,0.8058398962020874,117,1,372
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,2,MT-MLP BC,0,0,0,500,00-0002-29f33b963e4e,44,29f33b963e4e54ccdb63961996af3411570838b12fc3d21e8140ae14117e60c4,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,2,MT-ACT,0,0,0,500,00-0002-29f33b963e4e,44,29f33b963e4e54ccdb63961996af3411570838b12fc3d21e8140ae14117e60c4,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,2,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0002-29f33b963e4e,44,29f33b963e4e54ccdb63961996af3411570838b12fc3d21e8140ae14117e60c4,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,2,MT-REIM,0,2,0,500,00-0002-29f33b963e4e,44,29f33b963e4e54ccdb63961996af3411570838b12fc3d21e8140ae14117e60c4,0.772800862789154,1,1,490
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,3,MT-MLP BC,0,0,0,500,00-0003-46156b6a7b55,45,46156b6a7b55debfd6e0d00f920bd3b15f1d5dfe619fecccacaf360ed7f0ecde,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,3,MT-ACT,0,0,0,500,00-0003-46156b6a7b55,45,46156b6a7b55debfd6e0d00f920bd3b15f1d5dfe619fecccacaf360ed7f0ecde,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,3,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0003-46156b6a7b55,45,46156b6a7b55debfd6e0d00f920bd3b15f1d5dfe619fecccacaf360ed7f0ecde,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,3,MT-REIM,1,1,1,241,00-0003-46156b6a7b55,45,46156b6a7b55debfd6e0d00f920bd3b15f1d5dfe619fecccacaf360ed7f0ecde,0.6744402050971985,0,1,33
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,4,MT-MLP BC,0,0,0,500,00-0004-155c6e32ef87,46,155c6e32ef873e1f5c6c6c8e741b77794e69890d9b9526cdf0b028517c5127eb,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,4,MT-ACT,0,0,0,500,00-0004-155c6e32ef87,46,155c6e32ef873e1f5c6c6c8e741b77794e69890d9b9526cdf0b028517c5127eb,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,4,MT-ACT + Heuristic-Gated Learned Recovery,0,0,0,500,00-0004-155c6e32ef87,46,155c6e32ef873e1f5c6c6c8e741b77794e69890d9b9526cdf0b028517c5127eb,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,4,MT-REIM,1,1,1,62,00-0004-155c6e32ef87,46,155c6e32ef873e1f5c6c6c8e741b77794e69890d9b9526cdf0b028517c5127eb,0.827214777469635,33,1,29
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,5,MT-MLP BC,0,0,0,500,00-0005-bc65f1c36808,47,bc65f1c36808c99cc648d755af1b80598c3b3c46095e98af17bd1168ad5374cc,0.0,-1,1,0
71be4d7bac2c8ea07ce56a0ffb48e1cf58dd5b5011273e14646a5e32944bfbdd,MT10,robustness_noise_40,reach-v3,0,5,MT-ACT,1,0,0,437,00-0005-bc65f1c36808,47,bc65f1c36808c99cc648d755af1b80598c3b3c46095e98af17bd1168ad5374cc,0.0,-1,1,0
