event_offset,phase,samples,predicted_positive_samples,predicted_positive_rate,mean_probability,median_probability
-1,no_event_within_horizon,71068,7787,0.10957111498846175,0.31633009445478355,0.2569512724876404
0,current_event,12662,6880,0.5433580792923709,0.6760983338438847,0.7483838796615601
1,strict_future_event,1945,870,0.4473007712082262,0.6296433198402198,0.6655672788619995
2,strict_future_event,1505,664,0.44119601328903657,0.6233756534359186,0.6674001216888428
3,strict_future_event,1298,564,0.4345146379044684,0.6192017731253913,0.6582377851009369
4,strict_future_event,1188,513,0.4318181818181818,0.6181182274426356,0.6597711145877838
5,strict_future_event,1087,452,0.41582336706531736,0.613672983635169,0.6544623374938965
6,strict_future_event,1031,434,0.4209505334626576,0.6139091250566164,0.652644157409668
7,strict_future_event,981,430,0.4383282364933741,0.6122990717055707,0.6676565408706665
8,strict_future_event,932,408,0.43776824034334766,0.6122742879240426,0.6564111411571503
9,strict_future_event,904,383,0.42367256637168144,0.6126237771457341,0.6480922996997833
10,strict_future_event,870,376,0.432183908045977,0.6129077673044013,0.6604200601577759
