condition,noise_level,training_seed,reim_task_macro_success,reim_intervention_rate,act_task_macro_success,heuristic_task_macro_success,reim_delta_vs_act_pp,reim_delta_vs_heuristic_pp
clean,0.0,42,0.97,0.466,0.966,0.966,0.4,0.4
clean,0.0,43,0.966,0.198,0.966,0.958,0.0,0.8
clean,0.0,44,0.962,0.296,0.966,0.976,-0.4,-1.4
0.1,0.1,42,0.456,0.788,0.052,0.478,40.4,-2.2
0.1,0.1,43,0.43,0.772,0.052,0.414,37.8,1.6
0.1,0.1,44,0.438,0.764,0.052,0.45,38.6,-1.2
0.4,0.4,42,0.614,0.928,0.046,0.45,56.8,16.4
0.4,0.4,43,0.556,0.916,0.046,0.388,51.0,16.8
0.4,0.4,44,0.654,0.928,0.046,0.386,60.8,26.8
clean,0.0,mean,0.966,0.32,,,0.0,-0.1
clean,0.0,std,0.004,0.1356,,,0.4,1.2
0.1,0.1,mean,0.4413,0.7747,,,38.9,-0.6
0.1,0.1,std,0.0133,0.0122,,,1.3,2.0
0.4,0.4,mean,0.608,0.924,,,56.2,20.0
0.4,0.4,std,0.0493,0.0069,,,4.9,5.9
