Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Noise Level,Noise (%),Action Noise Std,Observation Noise Std,Object Impulse Std (m),Condition Seed,Episode Bank SHA256,Episode Bank File SHA256,Episode Offset,CRN Episode Specifications Verified,Profile,Evaluation Seed Start,Evaluation Seed End
ACT,1.0,0.9811546736227335,1.0,0.0,0.0,0.0,not_applicable,,,,53.3,52.795,53.815,0.2764581517451552,200,200,0,0,0,0,0,metaworld,True,0.0,0.0,0.0,0.0,0.0,8000042,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,eb468aabd44faac6824e22e445af922d5694375b8cc2cc5e1272fe277b523768,0,True,full,8000042,8000241
REIM (ACT + Detector + Recovery),1.0,0.9811546736227335,1.0,1.0,1.0,1.0,task_success_while_recovery_active_per_intervention,1.0,0.9581729333351078,0.9999999999999999,54.195,53.69,54.71,0.2328096341849596,200,200,88,88,88,88,88,metaworld,True,0.0,0.0,0.0,0.0,0.0,8000042,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,eb468aabd44faac6824e22e445af922d5694375b8cc2cc5e1272fe277b523768,0,True,full,8000042,8000241
ACT,0.97,0.9361057075454807,0.9861796856598887,0.0,0.0,0.0,not_applicable,,,,58.2,55.075,61.99,0.3011279160749291,200,194,0,0,0,0,0,metaworld,True,0.1,10.0,0.04000000000000001,0.0025000000000000005,0.010000000000000002,8000042,5dab9ea09f41c6bcf76a778fec235e41b2ca78bc226d49a2cf5818fef53b3bc9,9d3628269991917db36939392983d8dbb7fdde52a4fbba6726d0cf20518a342b,0,True,full,8000042,8000241
REIM (ACT + Detector + Recovery),0.995,0.9722262956021069,0.9991168312843989,0.9896907216494846,0.9662921348314607,1.0,task_success_while_recovery_active_per_intervention,0.9896907216494846,0.943895009757101,0.9981778351917131,55.435,54.32,57.145,0.23692797760502798,200,199,97,96,97,97,96,metaworld,True,0.1,10.0,0.04000000000000001,0.0025000000000000005,0.010000000000000002,8000042,5dab9ea09f41c6bcf76a778fec235e41b2ca78bc226d49a2cf5818fef53b3bc9,9d3628269991917db36939392983d8dbb7fdde52a4fbba6726d0cf20518a342b,0,True,full,8000042,8000241
ACT,0.765,0.7015863111723746,0.8184256658476741,0.0,0.0,0.0,not_applicable,,,,89.32,81.135,97.98049999999999,0.44837004500994226,200,153,0,0,0,0,0,metaworld,True,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,8000042,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,af5745b9186a646d034e11188254b9a02d00f2f6614386a43dbbf2654455056f,0,True,full,8000042,8000241
REIM (ACT + Detector + Recovery),0.92,0.874010511732856,0.9501594141102401,0.875,0.8142825537294565,0.9292035398230089,task_success_while_recovery_active_per_intervention,0.875,0.8065737291824854,0.9215735536123834,67.315,62.149875,73.150125,0.23176385061990004,200,184,128,112,128,128,112,metaworld,True,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,8000042,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,af5745b9186a646d034e11188254b9a02d00f2f6614386a43dbbf2654455056f,0,True,full,8000042,8000241
ACT,0.535,0.4658664687236316,0.6028143584299599,0.0,0.0,0.0,not_applicable,,,,123.34,113.38,133.24525,0.6156738241200037,200,107,0,0,0,0,0,metaworld,True,0.3,30.0,0.12,0.0075,0.03,8000042,093171deee73c73233afa582007dc538d5372fbe19a180c78389ff37452cf336,8c1bfbc1b345eb1d9fd5d44623c28fbdf4fd6ce8e2089b255a4bb8d160f924bd,0,True,full,8000042,8000241
REIM (ACT + Detector + Recovery),0.795,0.7337430194757748,0.8451382379616379,0.75,0.6832298136645962,0.8148148148148148,task_success_while_recovery_active_per_intervention,0.75,0.6785200122900301,0.8100362751502561,86.015,77.945,94.07525,0.2404247060297166,200,159,164,123,164,164,123,metaworld,True,0.3,30.0,0.12,0.0075,0.03,8000042,093171deee73c73233afa582007dc538d5372fbe19a180c78389ff37452cf336,8c1bfbc1b345eb1d9fd5d44623c28fbdf4fd6ce8e2089b255a4bb8d160f924bd,0,True,full,8000042,8000241
ACT,0.315,0.2546232099022851,0.3823495608573036,0.0,0.0,0.0,not_applicable,,,,155.36,146.23975000000002,164.51,0.7541078466201907,200,63,0,0,0,0,0,metaworld,True,0.4,40.0,0.16000000000000003,0.010000000000000002,0.04000000000000001,8000042,b4d00b629663580725cee7c16b68664af3de3bc5986bddef37e01448932e3ffd,cd5316b1d3eea7176fb24ca457414dea5826200febe5e835fbfc1d19b5f82de0,0,True,full,8000042,8000241
REIM (ACT + Detector + Recovery),0.635,0.566317026527406,0.698594735350732,0.6032608695652174,0.5325999298737729,0.6739130434782609,task_success_while_recovery_active_per_intervention,0.6032608695652174,0.5311560316556331,0.6711422268788328,110.38,100.94975000000001,120.065,0.2646142670849986,200,127,184,111,184,184,111,metaworld,True,0.4,40.0,0.16000000000000003,0.010000000000000002,0.04000000000000001,8000042,b4d00b629663580725cee7c16b68664af3de3bc5986bddef37e01448932e3ffd,cd5316b1d3eea7176fb24ca457414dea5826200febe5e835fbfc1d19b5f82de0,0,True,full,8000042,8000241
