Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Noise Level,Noise (%),Action Noise Std,Observation Noise Std,Object Impulse Std (m),Condition Seed,Profile,Evaluation Seed Start,Evaluation Seed End
ACT,1.0,0.9811546736227335,1.0,0.0,0.0,0.0,not_applicable,,,,52.59,52.139875,53.02,0.3592262284749813,200,200,0,0,0,0,0,metaworld,True,0.0,0.0,0.0,0.0,0.0,6000042,full,6000042,6000241
REIM (ACT + Detector + Recovery),1.0,0.9811546736227335,1.0,1.0,1.0,1.0,task_success_while_recovery_active_per_intervention,1.0,0.9312077638761377,0.9999999999999999,52.655,52.185,53.15,0.49634017373501593,200,200,52,52,52,52,52,metaworld,True,0.0,0.0,0.0,0.0,0.0,6000042,full,6000042,6000241
ACT,0.97,0.9361057075454807,0.9861796856598887,0.0,0.0,0.0,not_applicable,,,,57.685,54.574625000000005,61.365,0.40592635465502097,200,194,0,0,0,0,0,metaworld,True,0.1,10.0,0.04000000000000001,0.0025000000000000005,0.010000000000000002,6000042,full,6000042,6000241
REIM (ACT + Detector + Recovery),0.985,0.9568342712073097,0.9948857622067417,0.9577464788732394,0.90625,1.0,task_success_while_recovery_active_per_intervention,0.9577464788732394,0.882975839595153,0.9855267393795246,55.6,53.354875,58.395375,0.49249288756992426,200,197,71,68,71,71,68,metaworld,True,0.1,10.0,0.04000000000000001,0.0025000000000000005,0.010000000000000002,6000042,full,6000042,6000241
ACT,0.715,0.6488465397039482,0.7730499699538271,0.0,0.0,0.0,not_applicable,,,,95.85,87.05487500000001,105.00037499999999,0.5266519004801922,200,143,0,0,0,0,0,metaworld,True,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,6000042,full,6000042,6000241
REIM (ACT + Detector + Recovery),0.85,0.7939442071583334,0.89286406437758,0.7478991596638656,0.6694897744782182,0.8230646962797488,task_success_while_recovery_active_per_intervention,0.7478991596638656,0.6629702080798199,0.8173236647414035,76.41,69.324625,84.005,0.7134948011898359,200,170,119,89,119,119,89,metaworld,True,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,6000042,full,6000042,6000241
ACT,0.39,0.3250834313746962,0.4590625404283025,0.0,0.0,0.0,not_applicable,,,,143.72,133.8195,153.29512499999998,0.6689973855498466,200,78,0,0,0,0,0,metaworld,True,0.3,30.0,0.12,0.0075,0.03,6000042,full,6000042,6000241
REIM (ACT + Detector + Recovery),0.635,0.566317026527406,0.698594735350732,0.5680473372781065,0.49411764705882355,0.6445881157767163,task_success_while_recovery_active_per_intervention,0.5680473372781065,0.49267220318548727,0.6403977220334396,108.27,98.908625,118.19587499999999,0.7926398124499429,200,127,169,96,169,169,96,metaworld,True,0.3,30.0,0.12,0.0075,0.03,6000042,full,6000042,6000241
ACT,0.2,0.15045200926098115,0.26085518656537876,0.0,0.0,0.0,not_applicable,,,,171.65,163.756875,179.51524999999998,0.7696473936600523,200,40,0,0,0,0,0,metaworld,True,0.4,40.0,0.16000000000000003,0.010000000000000002,0.04000000000000001,6000042,full,6000042,6000241
REIM (ACT + Detector + Recovery),0.495,0.4264584535990475,0.5637299996647251,0.4631578947368421,0.38857187423703987,0.5319148936170213,task_success_while_recovery_active_per_intervention,0.46842105263157896,0.39879723320824195,0.5392965054944772,129.035,119.589875,138.892375,0.5121290916149337,200,99,190,88,190,190,89,metaworld,True,0.4,40.0,0.16000000000000003,0.010000000000000002,0.04000000000000001,6000042,full,6000042,6000241
