method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
ACT,0,6000042,metaworld,True,51,1.1165407360003883,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,1,6000043,metaworld,True,49,0.3702380830000038,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,2,6000044,metaworld,True,56,0.7600387399997999,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,3,6000045,metaworld,True,51,0.6089583930006484,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,4,6000046,metaworld,True,53,0.3991825599987351,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,5,6000047,metaworld,True,49,0.6271228269997664,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,6,6000048,metaworld,True,52,0.5937035620008828,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,7,6000049,metaworld,True,54,0.366170614001021,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,8,6000050,metaworld,True,52,0.40805940099926374,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,9,6000051,metaworld,True,53,0.21623679399999673,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,10,6000052,metaworld,True,47,0.15351596899927245,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,11,6000053,metaworld,True,50,0.36589883399938117,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,12,6000054,metaworld,True,51,0.1946512700014864,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,13,6000055,metaworld,True,51,0.1759124520012847,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,14,6000056,metaworld,True,56,0.1867276689990831,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,15,6000057,metaworld,True,48,0.16231833299934806,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,16,6000058,metaworld,True,56,0.280958235000071,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,17,6000059,metaworld,True,55,0.19216379099998449,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,18,6000060,metaworld,True,48,0.23115845099891885,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,19,6000061,metaworld,True,51,0.43399675200089405,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,20,6000062,metaworld,True,54,0.45968903500033775,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,21,6000063,metaworld,True,54,0.5728608440003882,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,22,6000064,metaworld,True,50,0.28255365600125515,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,23,6000065,metaworld,True,51,0.28448915100125305,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,24,6000066,metaworld,True,59,0.6188602620004531,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,25,6000067,metaworld,True,53,0.671301439000672,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
