method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT,0,6000042,metaworld,True,50,0.6586959600008413,0,0,0,0,0.0,,True,False,,full,0.2
ACT,1,6000043,metaworld,True,51,0.3976833929991699,0,0,0,0,0.0,,True,False,,full,0.2
ACT,2,6000044,metaworld,True,60,0.4597929760002444,0,0,0,0,0.0,,True,False,,full,0.2
ACT,3,6000045,metaworld,True,55,0.43004849499993725,0,0,0,0,0.0,,True,False,,full,0.2
ACT,4,6000046,metaworld,True,56,0.4377288320010848,0,0,0,0,0.0,,True,False,,full,0.2
ACT,5,6000047,metaworld,True,51,0.36859440399894083,0,0,0,0,0.0,,True,False,,full,0.2
ACT,6,6000048,metaworld,True,56,0.3980032769995887,0,0,0,0,0.0,,True,False,,full,0.2
ACT,7,6000049,metaworld,True,57,0.407549759000176,0,0,0,0,0.0,,True,False,,full,0.2
ACT,8,6000050,metaworld,True,55,0.27490614999987883,0,0,0,0,0.0,,True,False,,full,0.2
ACT,9,6000051,metaworld,True,54,0.41716132699912123,0,0,0,0,0.0,,True,False,,full,0.2
ACT,10,6000052,metaworld,True,48,0.5247353890008526,0,0,0,0,0.0,,True,False,,full,0.2
ACT,11,6000053,metaworld,True,53,0.6140298360005545,0,0,0,0,0.0,,True,False,,full,0.2
ACT,12,6000054,metaworld,False,200,2.924550993999219,0,0,0,0,0.0,,False,True,timeout,full,0.2
ACT,13,6000055,metaworld,False,200,2.563392001000466,0,0,0,0,0.0,,False,True,object_dropped,full,0.2
ACT,14,6000056,metaworld,True,58,0.4354953599995497,0,0,0,0,0.0,,True,False,,full,0.2
ACT,15,6000057,metaworld,True,51,0.47519332799856784,0,0,0,0,0.0,,True,False,,full,0.2
ACT,16,6000058,metaworld,True,57,0.462269063000349,0,0,0,0,0.0,,True,False,,full,0.2
ACT,17,6000059,metaworld,True,64,0.4990967220001039,0,0,0,0,0.0,,True,False,,full,0.2
ACT,18,6000060,metaworld,True,48,0.4613373030006187,0,0,0,0,0.0,,True,False,,full,0.2
ACT,19,6000061,metaworld,True,54,0.6555232930004422,0,0,0,0,0.0,,True,False,,full,0.2
