method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000042,metaworld,True,69,0.7454776230006246,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,1,6000043,metaworld,True,73,0.5367234180012019,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000044,metaworld,True,78,0.5753033660002984,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,3,6000045,metaworld,True,55,0.4197357920002105,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,4,6000046,metaworld,False,200,1.4531875949996902,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,5,6000047,metaworld,True,67,0.4954769859996304,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,6,6000048,metaworld,True,52,0.37740320800003246,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,7,6000049,metaworld,True,81,0.6044003520000842,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000050,metaworld,True,59,0.42848523699831276,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6000051,metaworld,True,76,0.5201666480006679,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000052,metaworld,True,56,0.4151067549992149,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,11,6000053,metaworld,True,117,0.8813695209992147,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,12,6000054,metaworld,True,77,0.5688702659990668,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,13,6000055,metaworld,True,104,0.7847338010014937,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,14,6000056,metaworld,True,131,0.9401703580006142,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6000057,metaworld,True,58,0.4300670840002567,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,16,6000058,metaworld,False,200,1.4927034050015209,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,17,6000059,metaworld,True,79,0.5938557579993358,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,18,6000060,metaworld,True,66,0.491304876999493,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6000061,metaworld,True,77,0.6149571160003688,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,20,6000062,metaworld,True,51,0.39502909399925556,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,21,6000063,metaworld,True,54,0.42690213800051424,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6000064,metaworld,True,55,0.40737945299952116,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6000065,metaworld,True,83,0.629109192001124,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,24,6000066,metaworld,True,52,0.38902965000124823,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6000067,metaworld,True,61,0.5136759279994294,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,26,6000068,metaworld,True,74,0.5716573289992084,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6000069,metaworld,True,79,0.5802382080000825,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,28,6000070,metaworld,True,52,0.35681919399939943,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,29,6000071,metaworld,True,78,0.6031083230009244,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,30,6000072,metaworld,False,200,1.4104479359994002,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,31,6000073,metaworld,False,200,1.4206016669995734,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,32,6000074,metaworld,False,200,1.4917839400004596,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,33,6000075,metaworld,True,47,0.32957758300108253,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,34,6000076,metaworld,True,72,0.5262147869998444,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,35,6000077,metaworld,True,62,0.4576133539994771,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,36,6000078,metaworld,True,75,0.5252220279999165,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,37,6000079,metaworld,True,73,0.5530198609994841,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,38,6000080,metaworld,True,71,0.551953524000055,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,39,6000081,metaworld,True,53,0.39494712699888623,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,40,6000082,metaworld,True,57,0.41633992599963676,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,41,6000083,metaworld,True,69,0.5056710000008025,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,42,6000084,metaworld,True,59,0.41357552999943437,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,43,6000085,metaworld,True,50,0.35208063400023093,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,44,6000086,metaworld,False,200,1.3447709440006292,1,0,1,0,0.0,post_reset_task_success_per_reset,False,False,timeout,custom,0.2
ACT + Random Reset,45,6000087,metaworld,True,52,0.33431774000018777,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,46,6000088,metaworld,False,200,1.4850714779986447,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,47,6000089,metaworld,False,200,1.5212709549996362,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,48,6000090,metaworld,True,74,0.5867867939996358,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,49,6000091,metaworld,True,75,0.6200845200000913,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,50,6000092,metaworld,True,76,0.5770488610014581,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,51,6000093,metaworld,True,77,0.5739588159995037,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,52,6000094,metaworld,True,69,0.5219002230005572,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,53,6000095,metaworld,True,73,0.5447901419993286,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,54,6000096,metaworld,True,73,0.5583263799999258,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,55,6000097,metaworld,True,113,0.9834529440013284,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,56,6000098,metaworld,True,54,0.39841586699913023,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,57,6000099,metaworld,True,54,0.4274100600014208,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,58,6000100,metaworld,True,50,0.3735876800001279,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,59,6000101,metaworld,True,74,0.5668750849999924,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,60,6000102,metaworld,True,71,0.5539001329998428,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,61,6000103,metaworld,True,57,0.5014241190001485,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,62,6000104,metaworld,True,72,0.5552774970001337,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,63,6000105,metaworld,True,56,0.40210255999954825,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,64,6000106,metaworld,True,49,0.37230029499914963,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,65,6000107,metaworld,True,75,0.6330645649995859,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,66,6000108,metaworld,True,69,0.5434885640006542,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
