method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000292,metaworld,False,200,1.8153715150001517,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,1,6000293,metaworld,True,74,0.6208108480004739,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000294,metaworld,True,57,0.46087410200016166,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,3,6000295,metaworld,False,200,1.5508114830008708,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,4,6000296,metaworld,True,72,0.5645351950006443,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000297,metaworld,False,200,1.586659562000932,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,6,6000298,metaworld,False,200,1.5107592910007952,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,7,6000299,metaworld,True,57,0.4178000259998953,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000300,metaworld,False,200,1.5817478080007277,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,9,6000301,metaworld,True,60,0.47488150899880566,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000302,metaworld,False,200,1.5551042430015514,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,11,6000303,metaworld,True,77,0.6257540280003013,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,12,6000304,metaworld,True,53,0.4203959890000988,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,13,6000305,metaworld,False,200,1.5920086469996022,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,14,6000306,metaworld,True,51,0.3922810340009164,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6000307,metaworld,True,72,0.5783804570000939,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,16,6000308,metaworld,True,55,0.4229628770008276,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,17,6000309,metaworld,False,200,1.5819878530001006,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,18,6000310,metaworld,True,53,0.41374321700095607,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6000311,metaworld,True,80,0.674515958999109,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,20,6000312,metaworld,True,57,0.45142095499977586,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,21,6000313,metaworld,True,80,0.6442905769999925,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6000314,metaworld,True,55,0.4252990269997099,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6000315,metaworld,False,200,1.5487469990002865,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,24,6000316,metaworld,True,72,0.6025883599995723,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6000317,metaworld,True,72,0.6240368199996738,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,26,6000318,metaworld,True,53,0.4148060360003001,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6000319,metaworld,True,78,0.6202582930000062,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,28,6000320,metaworld,True,75,0.6016303670003254,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,29,6000321,metaworld,True,85,0.6781943349997164,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,30,6000322,metaworld,True,65,0.5421976839988929,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,31,6000323,metaworld,True,72,0.5886443780000263,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,32,6000324,metaworld,True,76,0.6091250860008586,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,33,6000325,metaworld,True,74,0.6069424509987584,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,34,6000326,metaworld,True,76,0.5991185980001319,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,35,6000327,metaworld,True,72,0.5745405899997422,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,36,6000328,metaworld,False,200,1.5021668259996659,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,37,6000329,metaworld,False,200,1.5536560759992426,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,38,6000330,metaworld,True,55,0.4075429290005559,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,39,6000331,metaworld,True,54,0.40637997200065,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,40,6000332,metaworld,True,53,0.3954002179998497,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,41,6000333,metaworld,True,77,0.5857296030008001,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,42,6000334,metaworld,True,74,0.5637867400000687,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,43,6000335,metaworld,True,71,0.5334043990005739,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,44,6000336,metaworld,True,73,0.5832572710005479,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,45,6000337,metaworld,True,54,0.40294852899933176,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,46,6000338,metaworld,True,77,0.6572308180002437,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,47,6000339,metaworld,True,49,0.36893938499997603,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,48,6000340,metaworld,True,53,0.39274291599940625,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,49,6000341,metaworld,True,74,0.5710975720012357,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,50,6000342,metaworld,True,76,0.6048751749985968,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,51,6000343,metaworld,False,200,1.546331065999766,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
