method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000392,metaworld,True,71,0.8230584769989946,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,1,6000393,metaworld,True,72,0.5791698130014993,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000394,metaworld,False,200,1.5821900339997228,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,3,6000395,metaworld,True,81,0.661261758999899,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,4,6000396,metaworld,True,57,0.44655365599828656,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000397,metaworld,True,71,0.5809053289995063,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,6,6000398,metaworld,False,200,1.508281997001177,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,7,6000399,metaworld,True,60,0.2352136409990635,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000400,metaworld,True,65,0.41110582500004966,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6000401,metaworld,True,55,0.4397605249996559,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000402,metaworld,True,53,0.42060732699974324,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,11,6000403,metaworld,False,200,1.5388795500002743,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
