method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000492,metaworld,True,48,0.34503182700063917,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,1,6000493,metaworld,True,51,0.18770696399951703,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000494,metaworld,False,200,0.714231968000604,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,3,6000495,metaworld,True,75,0.28066261900130485,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,4,6000496,metaworld,True,74,0.3003463439999905,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000497,metaworld,True,48,0.20392682800047623,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,6,6000498,metaworld,True,76,0.3129798280006071,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,7,6000499,metaworld,True,75,0.3143013080007222,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000500,metaworld,True,57,0.21606293700097012,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6000501,metaworld,True,74,0.3138358639989747,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000502,metaworld,True,69,0.2897739990003174,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,11,6000503,metaworld,True,66,0.2534182330000476,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,12,6000504,metaworld,True,76,0.3995761810001568,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,13,6000505,metaworld,False,200,1.5152400240003772,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,14,6000506,metaworld,True,54,0.18526913399909972,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6000507,metaworld,False,200,0.7404619890003232,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,16,6000508,metaworld,True,47,0.21522512299998198,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,17,6000509,metaworld,True,75,0.5868703100004495,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,18,6000510,metaworld,True,74,0.5890781939997396,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6000511,metaworld,True,54,0.42949072900046303,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,20,6000512,metaworld,True,72,0.5923988850008755,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,21,6000513,metaworld,True,72,0.5800549039995531,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6000514,metaworld,True,78,0.6751037600006384,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6000515,metaworld,True,76,0.5993662429991673,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,24,6000516,metaworld,True,64,0.4780859580005199,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6000517,metaworld,False,200,1.5930299760002526,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,26,6000518,metaworld,True,79,0.6402649130013742,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6000519,metaworld,False,200,1.5815436390003015,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,28,6000520,metaworld,True,75,0.5828529310001613,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,29,6000521,metaworld,True,56,0.4339296380003361,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,30,6000522,metaworld,True,71,0.5915485179993993,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,31,6000523,metaworld,True,59,0.47071084900017013,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,32,6000524,metaworld,False,200,1.6305452950000472,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,33,6000525,metaworld,True,53,0.4067168749988923,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,34,6000526,metaworld,True,64,0.5160905220000132,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,35,6000527,metaworld,True,53,0.41085413099972357,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,36,6000528,metaworld,True,76,0.5840642710008979,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,37,6000529,metaworld,True,73,0.6286137549996056,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,38,6000530,metaworld,True,75,0.6256628640003328,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,39,6000531,metaworld,True,49,0.3820471079998242,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,40,6000532,metaworld,False,200,1.5428366630003438,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,41,6000533,metaworld,True,55,0.45016140000007,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,42,6000534,metaworld,True,47,0.35776580200035824,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,43,6000535,metaworld,True,72,0.5786001609994855,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,44,6000536,metaworld,True,81,0.6688550349990692,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,45,6000537,metaworld,True,69,0.5368533660002868,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,46,6000538,metaworld,True,79,0.6603088690008008,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,47,6000539,metaworld,True,67,0.5626417839994247,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,48,6000540,metaworld,True,54,0.4293579539989878,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,49,6000541,metaworld,True,74,0.585666950999439,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,50,6000542,metaworld,False,200,1.5416061440009798,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,51,6000543,metaworld,False,200,1.5793374929999118,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,52,6000544,metaworld,False,200,1.554076135998912,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,53,6000545,metaworld,True,76,0.6299138529993797,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,54,6000546,metaworld,True,106,0.8327227780009707,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,55,6000547,metaworld,True,52,0.39097598000080325,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,56,6000548,metaworld,True,78,0.6248560190015269,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,57,6000549,metaworld,True,52,0.39788658100042085,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,58,6000550,metaworld,False,200,1.5660626900007628,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,59,6000551,metaworld,True,58,0.4480871119994845,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,60,6000552,metaworld,True,78,0.6636947690003581,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,61,6000553,metaworld,True,54,0.4197629899990716,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,62,6000554,metaworld,True,77,0.6191503919999377,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,63,6000555,metaworld,True,53,0.4050403199998982,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,64,6000556,metaworld,True,74,0.5998086790004891,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,65,6000557,metaworld,True,65,0.5143063550003717,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,66,6000558,metaworld,False,200,1.5797540530002152,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,67,6000559,metaworld,False,200,1.5346565119998559,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,68,6000560,metaworld,True,57,0.4429016730009607,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,69,6000561,metaworld,True,75,0.6255589639986283,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,70,6000562,metaworld,True,62,0.5619699349990697,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,71,6000563,metaworld,True,76,0.6218195480014401,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,72,6000564,metaworld,True,70,0.5772992519996478,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,73,6000565,metaworld,True,76,0.6266069539997261,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,74,6000566,metaworld,True,59,0.46859446900089097,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,75,6000567,metaworld,True,56,0.44389684700036014,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,76,6000568,metaworld,True,56,0.4620751330003259,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,77,6000569,metaworld,True,70,0.5746917510005005,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,78,6000570,metaworld,True,67,0.589904378999563,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,79,6000571,metaworld,True,72,0.643652763999853,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,80,6000572,metaworld,False,200,1.6153134210017015,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,81,6000573,metaworld,True,73,0.6048406040008558,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,82,6000574,metaworld,True,75,0.6403082220003853,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,83,6000575,metaworld,True,49,0.3812732269998378,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,84,6000576,metaworld,True,68,0.5729905590014823,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,85,6000577,metaworld,True,56,0.4589656610005477,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
