method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000592,metaworld,True,49,0.34159359200020845,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,1,6000593,metaworld,True,53,0.21393511700080126,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000594,metaworld,True,82,0.5485983419985132,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,3,6000595,metaworld,True,54,0.4304613320000499,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,4,6000596,metaworld,True,58,0.4457546769990586,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000597,metaworld,True,84,0.6852629669992893,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,6,6000598,metaworld,True,56,0.4477776419989823,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,7,6000599,metaworld,True,73,0.5848172259993589,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000600,metaworld,True,51,0.4163472880009067,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6000601,metaworld,True,67,0.5553121840002859,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000602,metaworld,True,72,0.5607757329999004,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,11,6000603,metaworld,False,200,1.2395345189997897,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,12,6000604,metaworld,True,54,0.40492984899901785,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,13,6000605,metaworld,False,200,1.5492106450001302,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,14,6000606,metaworld,True,62,0.5176041109989455,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6000607,metaworld,True,78,0.6101999839993368,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,16,6000608,metaworld,True,71,0.5663301219992718,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,17,6000609,metaworld,True,82,0.648365510000076,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,18,6000610,metaworld,True,73,0.5779011999984505,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6000611,metaworld,True,62,0.47070585199980997,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,20,6000612,metaworld,False,200,1.5780473529994197,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,21,6000613,metaworld,True,62,0.49548258699906,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6000614,metaworld,True,51,0.3800777119995473,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6000615,metaworld,True,59,0.44270651299848396,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,24,6000616,metaworld,True,62,0.4634402809988387,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6000617,metaworld,True,77,0.6071976949988311,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,26,6000618,metaworld,True,81,0.6300274679997528,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6000619,metaworld,True,51,0.39001200399980007,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,28,6000620,metaworld,True,72,0.5626351219998469,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,29,6000621,metaworld,True,81,0.662997858999006,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,30,6000622,metaworld,True,58,0.4799538970000867,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,31,6000623,metaworld,True,52,0.41066519799824164,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,32,6000624,metaworld,True,51,0.3966114380000363,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,33,6000625,metaworld,True,123,0.9692856629990274,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,34,6000626,metaworld,True,55,0.43053477499961446,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,35,6000627,metaworld,True,76,0.6227818450006453,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,36,6000628,metaworld,False,200,1.297845929999312,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,37,6000629,metaworld,True,57,0.2110592409990204,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,38,6000630,metaworld,True,55,0.2361646560002555,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,39,6000631,metaworld,True,56,0.2244281149996823,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,40,6000632,metaworld,True,46,0.17093407699940144,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,41,6000633,metaworld,True,140,0.5237762950000615,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,42,6000634,metaworld,True,53,0.20081346400002076,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,43,6000635,metaworld,True,83,0.34917631600001187,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,44,6000636,metaworld,True,61,0.23269443699973635,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,45,6000637,metaworld,True,72,0.2700822920014616,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,46,6000638,metaworld,True,57,0.20736290800050483,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,47,6000639,metaworld,True,75,0.2988233539999783,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,48,6000640,metaworld,False,200,0.7312374329994782,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,49,6000641,metaworld,True,77,0.28906697099955636,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
