method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000692,metaworld,True,51,0.6519182409992936,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,1,6000693,metaworld,True,59,0.48031923300004564,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000694,metaworld,True,59,0.44197245000032126,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,3,6000695,metaworld,True,71,0.5677755150009034,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,4,6000696,metaworld,True,53,0.4125777979988925,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000697,metaworld,True,54,0.42269817299893475,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,6,6000698,metaworld,True,70,0.9322668409986363,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,7,6000699,metaworld,True,77,0.9007875029983552,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000700,metaworld,True,53,0.3954415150001296,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6000701,metaworld,True,74,0.5550608430003194,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000702,metaworld,True,79,0.2689742170005047,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,11,6000703,metaworld,True,73,0.2445203280003625,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,12,6000704,metaworld,True,80,0.2845540109992726,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,13,6000705,metaworld,True,54,0.17839190300037444,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,14,6000706,metaworld,True,71,0.2187810889990942,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6000707,metaworld,True,60,0.17958830499992473,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,16,6000708,metaworld,True,74,0.22520977400017728,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,17,6000709,metaworld,True,55,0.15905733600084204,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,18,6000710,metaworld,True,72,0.23972319200038328,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6000711,metaworld,True,76,0.25310790199910116,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,20,6000712,metaworld,True,57,0.17670665300101973,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,21,6000713,metaworld,True,53,0.1780115969995677,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6000714,metaworld,True,75,0.2488577650001389,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6000715,metaworld,True,55,0.17196947800039197,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,24,6000716,metaworld,True,77,0.25164921900068293,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6000717,metaworld,True,85,0.280448241999693,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,26,6000718,metaworld,True,50,0.15686762099903717,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6000719,metaworld,False,200,1.2708302119990549,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,28,6000720,metaworld,False,200,1.2519089650013484,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,29,6000721,metaworld,True,84,0.2957462939994002,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,30,6000722,metaworld,True,57,0.20668303899947205,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,31,6000723,metaworld,True,66,0.3943795069990301,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,32,6000724,metaworld,False,200,1.057228635001593,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
