method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000792,metaworld,False,200,1.366933863999293,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,1,6000793,metaworld,True,77,0.5720123569990392,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000794,metaworld,True,56,0.2955855669988523,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,3,6000795,metaworld,False,200,0.7401173409998592,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,4,6000796,metaworld,True,73,0.3266580060007982,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000797,metaworld,False,200,1.3758880410005077,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,6,6000798,metaworld,True,77,0.6201691610003763,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,7,6000799,metaworld,True,74,0.5831196609997278,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000800,metaworld,True,79,0.6555770839986508,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6000801,metaworld,True,51,0.4235506559998612,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000802,metaworld,True,76,0.6053405580005347,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,11,6000803,metaworld,True,52,0.39779757899850665,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,12,6000804,metaworld,True,61,0.4662228649995086,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,13,6000805,metaworld,True,72,0.5739681960003509,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,14,6000806,metaworld,True,53,0.41982112799996685,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6000807,metaworld,True,74,0.6027493180008605,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,16,6000808,metaworld,True,71,0.5603886989993043,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,17,6000809,metaworld,True,53,0.42856692299938004,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,18,6000810,metaworld,True,56,0.4381853869999759,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6000811,metaworld,True,74,0.5921128879999742,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,20,6000812,metaworld,True,53,0.40863808700123627,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,21,6000813,metaworld,True,76,0.625362380000297,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6000814,metaworld,True,76,0.6221199420015182,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6000815,metaworld,True,56,0.4354455949996918,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,24,6000816,metaworld,True,114,0.8704520359988237,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6000817,metaworld,False,200,1.586029153000709,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,26,6000818,metaworld,True,59,0.4435711829992215,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6000819,metaworld,True,81,0.6646603469998809,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,28,6000820,metaworld,True,117,0.9140814559996215,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,29,6000821,metaworld,False,200,1.5007643810004083,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,30,6000822,metaworld,True,78,0.6611971959991934,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,31,6000823,metaworld,True,73,0.5879973129995051,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,32,6000824,metaworld,True,68,0.5441105350000726,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,33,6000825,metaworld,False,200,1.602432970999871,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,34,6000826,metaworld,True,52,0.40807675500036567,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,35,6000827,metaworld,True,78,0.6277221609998378,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,36,6000828,metaworld,True,76,0.6047293219999119,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,37,6000829,metaworld,True,75,0.6083481290006603,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,38,6000830,metaworld,True,82,0.6952624969999306,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,39,6000831,metaworld,True,49,0.3754796120010724,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,40,6000832,metaworld,True,74,0.5776465479993931,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,41,6000833,metaworld,False,200,1.5470281510006316,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,42,6000834,metaworld,True,51,0.3999995909998688,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,43,6000835,metaworld,False,200,1.5912202470008197,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,44,6000836,metaworld,True,72,0.5658228069987672,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,45,6000837,metaworld,True,55,0.40775416500036954,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,46,6000838,metaworld,True,73,0.5762766450006893,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,47,6000839,metaworld,True,106,0.8093586649993085,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,48,6000840,metaworld,False,200,1.5536909490001563,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,49,6000841,metaworld,False,200,1.4968585520000488,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,50,6000842,metaworld,True,77,0.5966825850009627,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,51,6000843,metaworld,True,71,0.5492717409997567,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,52,6000844,metaworld,True,56,0.4120543130011356,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,53,6000845,metaworld,True,73,0.5377169309995224,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,54,6000846,metaworld,True,55,0.4133614029997261,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,55,6000847,metaworld,True,70,0.5547949690007954,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,56,6000848,metaworld,True,73,0.5576889379990462,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,57,6000849,metaworld,True,55,0.3836505510007555,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,58,6000850,metaworld,False,200,1.395511243999863,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,59,6000851,metaworld,True,69,0.2725793370009342,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,60,6000852,metaworld,True,77,0.3056339350005146,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,61,6000853,metaworld,False,200,0.6638455419997626,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,62,6000854,metaworld,True,57,0.18304650800018862,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,63,6000855,metaworld,False,200,0.6392402359997504,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,64,6000856,metaworld,True,73,0.2437405820001004,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,65,6000857,metaworld,False,200,0.6579999699988548,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,66,6000858,metaworld,True,77,0.26203511099993193,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,67,6000859,metaworld,True,78,0.2822530339999503,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,68,6000860,metaworld,False,200,0.7086971440003254,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,69,6000861,metaworld,True,71,0.23455922699940857,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,70,6000862,metaworld,True,50,0.1581628969997837,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,71,6000863,metaworld,True,52,0.1659572520002257,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,72,6000864,metaworld,True,72,0.2418860699999641,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,73,6000865,metaworld,True,124,0.4147445479993621,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,74,6000866,metaworld,True,49,0.16226842899959593,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,75,6000867,metaworld,True,56,0.18812049000007391,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,76,6000868,metaworld,False,200,0.6636167190008564,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,77,6000869,metaworld,True,61,0.22355350900033955,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,78,6000870,metaworld,True,54,0.20145302700075263,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,79,6000871,metaworld,True,82,0.27615263699954085,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,80,6000872,metaworld,True,79,0.2588316540004598,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,81,6000873,metaworld,True,58,0.18615910399967106,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,82,6000874,metaworld,True,70,0.2640931260011712,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,83,6000875,metaworld,True,81,0.2976552370000718,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,84,6000876,metaworld,True,74,0.25271002000044973,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,85,6000877,metaworld,False,200,0.6472171130008064,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,86,6000878,metaworld,True,47,0.15067878999980167,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,87,6000879,metaworld,True,77,0.2797869099995296,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,88,6000880,metaworld,False,200,1.0158143139997264,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,89,6000881,metaworld,True,118,0.36945573699995293,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,90,6000882,metaworld,True,54,0.17288139399897773,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,91,6000883,metaworld,True,78,0.2720067919999565,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,92,6000884,metaworld,True,68,0.23670352599947364,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,93,6000885,metaworld,True,76,0.2471952779997082,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,94,6000886,metaworld,True,53,0.1633441939993645,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,95,6000887,metaworld,True,110,0.3672996469995269,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,96,6000888,metaworld,True,56,0.16429583799981629,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,97,6000889,metaworld,True,83,0.2533614749991102,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,98,6000890,metaworld,False,200,0.6009193589998176,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
