method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000892,metaworld,True,71,0.34194101200046134,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,1,6000893,metaworld,True,85,0.2368436130000191,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,2,6000894,metaworld,True,74,0.2078614980000566,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,3,6000895,metaworld,True,66,0.18975462699927448,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,4,6000896,metaworld,True,80,0.2383221540003433,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000897,metaworld,True,81,0.2311529500002507,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,6,6000898,metaworld,True,58,0.15748548900046444,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,7,6000899,metaworld,True,73,0.20613126599891984,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6000900,metaworld,True,74,0.21751282299919694,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6000901,metaworld,True,55,0.14651923299970804,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6000902,metaworld,False,200,0.5235142390010878,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,11,6000903,metaworld,True,72,0.21708708000005572,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,12,6000904,metaworld,False,200,0.5439160939986323,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,13,6000905,metaworld,True,49,0.14351474899922323,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,14,6000906,metaworld,True,49,0.1317752670001937,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6000907,metaworld,True,55,0.15755210499992245,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,16,6000908,metaworld,True,74,0.20806061700022838,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,17,6000909,metaworld,False,200,0.5397694580005918,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,18,6000910,metaworld,True,56,0.15062506699905498,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6000911,metaworld,True,54,0.14972146899890504,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,20,6000912,metaworld,True,82,0.2301263730005303,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,21,6000913,metaworld,True,50,0.13077513600001112,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6000914,metaworld,True,77,0.2131731489989761,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6000915,metaworld,True,75,0.2066726329994708,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,24,6000916,metaworld,True,71,0.2267117089995736,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6000917,metaworld,True,64,0.17474931000106153,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,26,6000918,metaworld,True,72,0.2015254849993653,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6000919,metaworld,False,200,0.5372065560004557,1,0,1,0,0.85,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,28,6000920,metaworld,True,75,0.21103859600043506,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,29,6000921,metaworld,True,51,0.1382216839992907,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,30,6000922,metaworld,False,200,0.5389720219991432,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,31,6000923,metaworld,True,67,0.1863782189993799,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,32,6000924,metaworld,True,77,0.20308462300090468,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
