method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,0,6000992,metaworld,True,82,0.39155640799981484,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,1,6000993,metaworld,False,200,0.5763119789990014,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,2,6000994,metaworld,True,76,0.21091452300061064,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,3,6000995,metaworld,True,80,0.217925164000917,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,4,6000996,metaworld,True,50,0.13070213900027738,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,5,6000997,metaworld,True,74,0.2067726679997577,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,6,6000998,metaworld,False,200,0.5391984859998047,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,7,6000999,metaworld,True,72,0.20378674099993077,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,8,6001000,metaworld,True,78,0.21210800699918764,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,9,6001001,metaworld,True,77,0.22598660000039672,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,10,6001002,metaworld,True,82,0.2422067640000023,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,11,6001003,metaworld,True,60,0.16270104800059926,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,12,6001004,metaworld,True,69,0.19076107299952128,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,13,6001005,metaworld,True,80,0.2172552940010064,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,14,6001006,metaworld,True,72,0.19991934400059108,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,15,6001007,metaworld,True,79,0.2195037660003436,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,16,6001008,metaworld,True,70,0.19504809000136447,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,17,6001009,metaworld,False,200,0.5498873930009722,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,18,6001010,metaworld,True,72,0.19909002399981546,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,19,6001011,metaworld,False,200,0.5109034130000509,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,20,6001012,metaworld,True,80,0.21573725300004298,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,21,6001013,metaworld,True,56,0.16741057800027193,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,22,6001014,metaworld,True,74,0.20761660300013318,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,23,6001015,metaworld,True,58,0.1532173249997868,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,24,6001016,metaworld,True,57,0.14831539599981625,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,25,6001017,metaworld,True,75,0.2240910119999171,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,26,6001018,metaworld,True,77,0.21321341399925586,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,27,6001019,metaworld,True,52,0.13611131700054102,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,28,6001020,metaworld,True,70,0.18951193999964744,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,29,6001021,metaworld,True,120,0.3238762400014821,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,30,6001022,metaworld,True,74,0.20417188499959593,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,31,6001023,metaworld,False,200,0.5219154540009185,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,32,6001024,metaworld,False,200,0.5613212340012979,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,33,6001025,metaworld,False,200,0.5237537630000588,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,34,6001026,metaworld,True,59,0.15313397200043255,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,35,6001027,metaworld,True,80,0.2178324770011386,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,36,6001028,metaworld,True,59,0.15200346900019213,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,37,6001029,metaworld,True,54,0.14048090599862917,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,38,6001030,metaworld,True,68,0.1820580619987595,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,39,6001031,metaworld,True,68,0.1835086989995034,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,40,6001032,metaworld,True,53,0.1263976320005895,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,41,6001033,metaworld,True,55,0.13689872100076173,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,42,6001034,metaworld,True,57,0.14746262900007423,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,43,6001035,metaworld,True,72,0.17786343400075566,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,44,6001036,metaworld,False,200,0.47027435599920864,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,45,6001037,metaworld,True,68,0.17462049500136345,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,46,6001038,metaworld,True,72,0.18470102999890514,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,47,6001039,metaworld,True,81,0.21206640399941534,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,48,6001040,metaworld,False,200,0.565594460000284,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,49,6001041,metaworld,True,73,0.22733795600106532,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
