method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + RL Recovery,0,6000292,metaworld,True,60,0.6515557489983621,1,1,1,40,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,1,6000293,metaworld,True,50,0.5040216669985966,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,2,6000294,metaworld,True,52,0.3633113249998132,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,3,6000295,metaworld,True,56,0.6002433049980027,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,4,6000296,metaworld,True,60,0.6596399129994097,1,1,1,40,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,5,6000297,metaworld,True,61,0.5544514110006276,1,1,1,41,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,6,6000298,metaworld,True,55,0.4615368330014462,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,7,6000299,metaworld,True,49,0.161134686000878,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,8,6000300,metaworld,True,52,0.4957229040010134,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,9,6000301,metaworld,False,200,1.911427361999813,1,0,1,133,1.0,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
ACT + RL Recovery,10,6000302,metaworld,True,48,0.30149093399813864,1,1,1,27,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,11,6000303,metaworld,True,55,0.09800885699951323,1,1,1,35,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,12,6000304,metaworld,True,54,0.27589586799877,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,13,6000305,metaworld,True,58,0.7186740309989545,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,14,6000306,metaworld,True,45,0.17704568300177925,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,15,6000307,metaworld,True,46,0.3398582330009958,1,1,1,25,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,16,6000308,metaworld,True,60,0.3203236029985419,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,17,6000309,metaworld,True,52,0.12987916099882568,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,18,6000310,metaworld,False,200,2.204847796998365,1,0,1,140,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2
ACT + RL Recovery,19,6000311,metaworld,True,49,0.7485264349998033,1,1,1,29,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,20,6000312,metaworld,True,60,0.33065740700112656,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,21,6000313,metaworld,True,52,0.5237812890009081,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,22,6000314,metaworld,True,53,0.4153705850003462,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,23,6000315,metaworld,True,58,0.43125135399895953,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,24,6000316,metaworld,True,51,0.6021957720004139,1,1,1,29,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,25,6000317,metaworld,True,59,0.7111157139988791,1,1,1,39,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,26,6000318,metaworld,True,50,0.21634675899986178,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,27,6000319,metaworld,True,56,0.4361739390005823,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,28,6000320,metaworld,True,54,0.5609224950021598,1,1,1,34,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,29,6000321,metaworld,True,63,0.7649836460004735,1,1,1,43,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,30,6000322,metaworld,True,51,0.780030327001441,1,1,1,42,1.0,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
ACT + RL Recovery,31,6000323,metaworld,False,200,2.168165915998543,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2
ACT + RL Recovery,32,6000324,metaworld,True,56,0.8732810050023545,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
