method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + RL Recovery,0,6000042,metaworld,True,50,0.6061409510002704,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,1,6000043,metaworld,True,52,0.42284117300005164,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,2,6000044,metaworld,True,61,0.3857458670008782,1,1,1,40,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,3,6000045,metaworld,True,55,0.18157157299901883,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,4,6000046,metaworld,True,56,0.13241416400160233,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,5,6000047,metaworld,True,52,0.32844363899857854,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,6,6000048,metaworld,True,56,0.2854296929999691,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,7,6000049,metaworld,True,55,0.47467959000096016,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,8,6000050,metaworld,True,55,0.28251049800019246,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,9,6000051,metaworld,True,56,0.6438549189988407,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,10,6000052,metaworld,True,48,0.36196807300075307,1,1,1,26,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,11,6000053,metaworld,True,53,0.2758568790013669,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,12,6000054,metaworld,False,200,0.9037565519993223,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
ACT + RL Recovery,13,6000055,metaworld,False,200,1.0110440700009349,1,0,1,144,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
ACT + RL Recovery,14,6000056,metaworld,True,58,0.21296182599871827,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,15,6000057,metaworld,True,51,0.13261168700046255,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,16,6000058,metaworld,True,51,0.5008230490002461,1,1,1,42,1.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,17,6000059,metaworld,True,61,0.5235828069999116,1,1,1,41,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,18,6000060,metaworld,True,47,0.35084749499947065,1,1,1,27,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,19,6000061,metaworld,True,53,0.347455404998982,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,20,6000062,metaworld,True,54,0.42756456899951445,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,21,6000063,metaworld,True,53,0.14576851099991472,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,22,6000064,metaworld,True,51,0.15069448899885174,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,23,6000065,metaworld,True,53,0.11349351499848126,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
