method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + RL Recovery,0,6000042,metaworld,True,49,0.4920380669991573,1,1,1,29,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,1,6000043,metaworld,True,51,0.3685575389990845,1,1,1,31,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,2,6000044,metaworld,True,58,0.579503464001391,1,1,1,37,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,3,6000045,metaworld,True,55,0.3049737469991669,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,4,6000046,metaworld,True,53,0.5226787949995924,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,5,6000047,metaworld,True,51,0.46612479299983534,1,1,1,31,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,6,6000048,metaworld,True,56,0.5150877400010359,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,7,6000049,metaworld,True,54,0.5881210339994141,1,1,1,31,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,8,6000050,metaworld,True,55,0.698249527000371,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,9,6000051,metaworld,True,54,0.7390339020003012,1,1,1,34,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,10,6000052,metaworld,True,47,0.703572823000286,1,1,1,25,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,11,6000053,metaworld,True,53,0.6025375339995662,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,12,6000054,metaworld,True,50,0.705713048000689,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,13,6000055,metaworld,False,200,2.317917225000201,1,0,1,144,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
ACT + RL Recovery,14,6000056,metaworld,True,58,0.48136074200010626,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,15,6000057,metaworld,True,51,0.3968548770008056,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,16,6000058,metaworld,True,52,0.6357190969993098,1,1,1,43,1.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,17,6000059,metaworld,True,59,0.59083397699942,1,1,1,39,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,18,6000060,metaworld,True,46,0.4144302000004245,1,1,1,26,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,19,6000061,metaworld,True,52,0.5252859239990357,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,20,6000062,metaworld,True,54,0.4504002269986813,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,21,6000063,metaworld,True,53,0.4340127739997115,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,22,6000064,metaworld,True,51,0.47076594200007094,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,23,6000065,metaworld,True,51,0.44078761499986285,1,1,1,31,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,24,6000066,metaworld,False,200,1.6019402769998123,1,0,1,136,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
ACT + RL Recovery,25,6000067,metaworld,True,56,0.38752223000119557,1,1,1,46,1.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,26,6000068,metaworld,True,53,0.5311852340000769,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,27,6000069,metaworld,True,55,0.444730093000544,1,1,1,35,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,28,6000070,metaworld,True,54,0.40879945999949996,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,29,6000071,metaworld,True,57,0.40587467099976493,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,30,6000072,metaworld,True,59,0.7482358009983727,1,1,1,39,0.9,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,31,6000073,metaworld,True,51,0.699751413998456,1,1,1,31,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,32,6000074,metaworld,True,46,0.4543441799996799,1,1,1,26,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,33,6000075,metaworld,True,58,0.45877548299904447,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,34,6000076,metaworld,True,58,0.597431461999804,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,35,6000077,metaworld,True,55,0.6618256229994586,1,1,1,47,1.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,36,6000078,metaworld,True,52,0.5291798090001976,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,37,6000079,metaworld,True,51,0.46114885400129424,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,38,6000080,metaworld,True,47,0.4426716750003834,1,1,1,26,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,39,6000081,metaworld,True,62,0.5032198680000874,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,40,6000082,metaworld,True,52,0.4150976740002079,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,41,6000083,metaworld,True,54,0.5233201390001341,1,1,1,34,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,42,6000084,metaworld,True,54,0.41278262499872653,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,43,6000085,metaworld,True,54,0.46919807699850935,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,44,6000086,metaworld,True,52,0.5111585369995737,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,45,6000087,metaworld,True,53,0.4522235009990254,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,46,6000088,metaworld,True,63,0.6590662799990241,1,1,1,43,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,47,6000089,metaworld,True,54,0.4864831380000396,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,48,6000090,metaworld,True,53,0.47795763299836835,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,49,6000091,metaworld,True,52,0.5247492639991833,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,50,6000092,metaworld,True,52,0.38678600899947924,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,51,6000093,metaworld,True,58,0.6028949789997569,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,52,6000094,metaworld,True,53,0.5832844380001916,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,53,6000095,metaworld,False,200,2.158006097000907,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
ACT + RL Recovery,54,6000096,metaworld,True,58,0.8762369479991321,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,55,6000097,metaworld,True,54,0.7927126700014924,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,56,6000098,metaworld,True,46,0.33493471300062083,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,57,6000099,metaworld,True,53,0.5237775320001674,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,58,6000100,metaworld,True,52,0.37293084700104373,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,59,6000101,metaworld,False,200,1.5087603779993515,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
ACT + RL Recovery,60,6000102,metaworld,True,46,0.36424473300030513,1,1,1,26,0.85,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
ACT + RL Recovery,61,6000103,metaworld,True,48,0.23593754500143405,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
