method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
REIM (ACT + Detector + Recovery),0,6000042,metaworld,True,50,0.5600317170010385,0,0,0,0,0.17666028439998627,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),1,6000043,metaworld,True,51,0.22773760900054185,0,0,0,0,0.18855030834674835,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),2,6000044,metaworld,True,65,0.42590330299935886,1,1,1,30,0.2029482126235962,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),3,6000045,metaworld,True,55,0.5867031269990548,0,0,0,0,0.1590830236673355,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),4,6000046,metaworld,True,54,0.8084031050002523,1,1,1,39,0.2078421413898468,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),5,6000047,metaworld,True,52,0.5316400949996023,1,1,1,33,0.20451079308986664,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),6,6000048,metaworld,True,56,0.3074182960008329,0,0,0,0,0.15030185878276825,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),7,6000049,metaworld,True,54,0.6045532040006947,1,1,1,39,0.252267062664032,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),8,6000050,metaworld,True,55,0.37433488100032264,0,0,0,0,0.1465797871351242,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),9,6000051,metaworld,True,56,0.5810431179997977,1,1,1,36,0.20303675532341003,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),10,6000052,metaworld,True,49,0.2617461820009339,1,1,1,30,0.20942427217960358,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
