method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
REIM (ACT + Detector + Recovery),0,6000042,metaworld,True,50,1.5186541780003608,0,0,0,0,0.17666028439998627,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),1,6000043,metaworld,True,51,0.7090543679987604,0,0,0,0,0.18855030834674835,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),2,6000044,metaworld,True,60,0.818696173000717,1,1,1,25,0.20182769000530243,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),3,6000045,metaworld,True,55,0.35169661399959296,0,0,0,0,0.1590830236673355,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),4,6000046,metaworld,True,54,0.6196646309999778,1,1,1,39,0.2079092115163803,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),5,6000047,metaworld,True,51,0.6971964630010916,1,1,1,32,0.20451079308986664,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),6,6000048,metaworld,True,56,0.6930456070003856,0,0,0,0,0.15030185878276825,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),7,6000049,metaworld,True,54,0.8400589419998141,1,1,1,39,0.24832655489444733,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),8,6000050,metaworld,True,55,0.46182204100114177,0,0,0,0,0.1465797871351242,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),9,6000051,metaworld,True,54,1.1490103320011258,1,1,1,34,0.20303675532341003,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),10,6000052,metaworld,True,48,1.1268677810003283,1,1,1,29,0.21334175765514374,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),11,6000053,metaworld,True,53,0.6273515190005128,0,0,0,0,0.14510659873485565,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),12,6000054,metaworld,True,51,0.9222853890005354,1,1,1,32,0.36999690532684326,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),13,6000055,metaworld,True,52,0.7266768579993368,1,1,1,28,0.20265068113803864,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),14,6000056,metaworld,True,58,0.34731571200063627,0,0,0,0,0.15852712094783783,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),15,6000057,metaworld,True,47,0.6991073850003886,1,1,1,40,0.5133690237998962,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),16,6000058,metaworld,True,55,0.6521085309996124,1,1,1,37,0.2653886377811432,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),17,6000059,metaworld,True,58,0.7378851060002489,1,1,1,39,0.22741776704788208,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),18,6000060,metaworld,True,45,0.483127860001332,1,1,1,31,0.35031282901763916,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),19,6000061,metaworld,True,53,0.9351949860010791,1,1,1,39,0.2089153528213501,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),20,6000062,metaworld,True,54,0.5609300399992208,0,0,0,0,0.18567954003810883,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),21,6000063,metaworld,True,53,0.8267025980003382,1,1,1,34,0.23731261491775513,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),22,6000064,metaworld,True,51,0.3571031800001947,0,0,0,0,0.1487804800271988,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),23,6000065,metaworld,True,51,0.5521669829995517,1,1,1,38,0.2621164619922638,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),24,6000066,metaworld,False,200,3.3194131449999986,1,0,1,135,0.9986523985862732,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
REIM (ACT + Detector + Recovery),25,6000067,metaworld,True,55,0.7182326530000864,0,0,0,0,0.16984562575817108,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),26,6000068,metaworld,True,53,0.6775783709999814,1,1,1,32,0.35929757356643677,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),27,6000069,metaworld,False,200,2.861670344000231,1,0,1,150,0.9958129525184631,task_success_while_recovery_active_per_intervention,False,True,timeout,full,0.2
REIM (ACT + Detector + Recovery),28,6000070,metaworld,True,54,0.48865012399983243,0,0,0,0,0.1723783314228058,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),29,6000071,metaworld,True,56,0.6968002960002195,0,0,0,0,0.15013714134693146,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),30,6000072,metaworld,False,200,2.4013241520005977,1,0,1,150,0.9919393658638,task_success_while_recovery_active_per_intervention,False,True,timeout,full,0.2
REIM (ACT + Detector + Recovery),31,6000073,metaworld,True,50,0.31093527199845994,0,0,0,0,0.1809110790491104,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),32,6000074,metaworld,True,47,0.49200509399997827,1,1,1,33,0.2685299217700958,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),33,6000075,metaworld,True,52,0.8609400210007152,1,1,1,41,0.3592877686023712,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),34,6000076,metaworld,True,55,1.105485062000298,1,1,1,41,0.3130566477775574,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),35,6000077,metaworld,True,54,0.8833436160002748,1,1,1,38,0.28529444336891174,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),36,6000078,metaworld,True,53,1.1418396909994044,1,1,1,34,0.3321176767349243,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),37,6000079,metaworld,True,51,0.7347640899988619,1,1,1,31,0.2507952153682709,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),38,6000080,metaworld,True,47,0.7280760120011109,1,1,1,28,0.22859768569469452,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),39,6000081,metaworld,True,64,0.6358937860004517,1,1,1,30,0.22053003311157227,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),40,6000082,metaworld,True,52,0.341312229000323,0,0,0,0,0.12540066242218018,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),41,6000083,metaworld,True,54,0.837231643999985,1,1,1,32,0.27562209963798523,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),42,6000084,metaworld,True,52,0.7916792790001637,1,1,1,27,0.3031623661518097,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),43,6000085,metaworld,True,54,0.5447569810003188,0,0,0,0,0.16346806287765503,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),44,6000086,metaworld,True,52,0.7969902650002041,1,1,1,32,0.2978042960166931,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),45,6000087,metaworld,True,53,0.5526473369991436,0,0,0,0,0.19780844449996948,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),46,6000088,metaworld,True,64,0.7103157849996933,1,1,1,50,0.2791985273361206,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),47,6000089,metaworld,True,52,0.3658657519990811,0,0,0,0,0.11729240417480469,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),48,6000090,metaworld,True,54,0.8157723439999245,1,1,1,44,0.3709312081336975,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),49,6000091,metaworld,True,54,0.4516369670000131,0,0,0,0,0.17819233238697052,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),50,6000092,metaworld,True,51,0.36828315800084965,0,0,0,0,0.12962710857391357,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),51,6000093,metaworld,True,56,0.41416543400009687,0,0,0,0,0.19766594469547272,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),52,6000094,metaworld,True,53,0.7285044389991526,1,1,1,43,0.3653586506843567,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),53,6000095,metaworld,False,200,2.855909920999693,1,0,1,150,0.9896951913833618,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
REIM (ACT + Detector + Recovery),54,6000096,metaworld,True,58,0.7258743790007429,1,1,1,42,0.28876981139183044,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),55,6000097,metaworld,True,53,0.9769276949991763,1,1,1,45,0.4161994159221649,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),56,6000098,metaworld,True,44,0.5945903459996771,1,1,1,22,0.2037704885005951,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),57,6000099,metaworld,True,52,0.8252033699991443,1,1,1,43,0.40101251006126404,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),58,6000100,metaworld,True,52,0.31311342300068645,0,0,0,0,0.17486198246479034,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),59,6000101,metaworld,False,200,2.18077909099884,1,0,1,150,0.996575653553009,task_success_while_recovery_active_per_intervention,False,True,object_dropped,full,0.2
REIM (ACT + Detector + Recovery),60,6000102,metaworld,True,45,0.7798450110003614,1,1,1,37,0.2940216064453125,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),61,6000103,metaworld,True,48,0.548426796000058,1,1,1,27,0.20663240551948547,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),62,6000104,metaworld,True,58,0.38026543100022536,0,0,0,0,0.165674090385437,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),63,6000105,metaworld,True,50,0.3909478810001019,0,0,0,0,0.16312167048454285,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),64,6000106,metaworld,True,52,0.32960292999996454,0,0,0,0,0.10022587329149246,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
REIM (ACT + Detector + Recovery),65,6000107,metaworld,True,62,0.4530977920003352,0,0,0,0,0.1661897450685501,task_success_while_recovery_active_per_intervention,True,False,,full,0.2
