method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Detector,0,6000542,metaworld,True,51,0.8914024690002407,0,0,0,0,0.18307606875896454,,True,False,,custom,0.2
ACT + Detector,1,6000543,metaworld,False,200,1.7853046470008849,0,0,1,0,0.9981029033660889,,False,True,timeout,custom,0.2
ACT + Detector,2,6000544,metaworld,False,200,2.016696189999493,0,0,1,0,0.9989086389541626,,False,True,timeout,custom,0.2
ACT + Detector,3,6000545,metaworld,False,200,1.7822262749996298,0,0,1,0,0.9990177154541016,,False,True,timeout,custom,0.2
ACT + Detector,4,6000546,metaworld,True,56,0.5013898170000175,0,0,1,0,0.2101968675851822,,True,False,,custom,0.2
ACT + Detector,5,6000547,metaworld,True,57,0.5829109309997875,0,0,0,0,0.11068063974380493,,True,False,,custom,0.2
ACT + Detector,6,6000548,metaworld,True,52,0.5518370659992797,0,0,0,0,0.18387733399868011,,True,False,,custom,0.2
ACT + Detector,7,6000549,metaworld,True,44,0.4627092439986882,0,0,1,0,0.20662453770637512,,True,False,,custom,0.2
ACT + Detector,8,6000550,metaworld,True,54,0.5013483029997587,0,0,0,0,0.13939690589904785,,True,False,,custom,0.2
ACT + Detector,9,6000551,metaworld,True,48,0.4681945949996589,0,0,0,0,0.1768905222415924,,True,False,,custom,0.2
ACT + Detector,10,6000552,metaworld,True,59,0.5757569800007332,0,0,1,0,0.20820578932762146,,True,False,,custom,0.2
ACT + Detector,11,6000553,metaworld,True,52,0.4963548180003272,0,0,0,0,0.13584841787815094,,True,False,,custom,0.2
ACT + Detector,12,6000554,metaworld,False,200,2.0058478109986027,0,0,1,0,0.8381251692771912,,False,True,timeout,custom,0.2
ACT + Detector,13,6000555,metaworld,True,51,0.6009524949986371,0,0,0,0,0.14942842721939087,,True,False,,custom,0.2
ACT + Detector,14,6000556,metaworld,True,60,0.6777728730012313,0,0,0,0,0.15636976063251495,,True,False,,custom,0.2
ACT + Detector,15,6000557,metaworld,True,46,0.47899729200071306,0,0,1,0,0.21287676692008972,,True,False,,custom,0.2
ACT + Detector,16,6000558,metaworld,True,58,0.6187712159990042,0,0,1,0,0.22958959639072418,,True,False,,custom,0.2
ACT + Detector,17,6000559,metaworld,True,59,0.6318539259991667,0,0,1,0,0.22360746562480927,,True,False,,custom,0.2
ACT + Detector,18,6000560,metaworld,True,52,0.5440416099991126,0,0,0,0,0.14655418694019318,,True,False,,custom,0.2
ACT + Detector,19,6000561,metaworld,True,57,0.5875131460015837,0,0,1,0,0.21681511402130127,,True,False,,custom,0.2
ACT + Detector,20,6000562,metaworld,True,50,0.5980625169995619,0,0,0,0,0.1874048262834549,,True,False,,custom,0.2
ACT + Detector,21,6000563,metaworld,False,200,2.115093544998672,0,0,1,0,0.99972003698349,,False,True,timeout,custom,0.2
ACT + Detector,22,6000564,metaworld,False,200,2.1138166740001907,0,0,1,0,0.9993855953216553,,False,True,timeout,custom,0.2
ACT + Detector,23,6000565,metaworld,False,200,2.042725700999654,0,0,1,0,0.870500922203064,,False,True,timeout,custom,0.2
ACT + Detector,24,6000566,metaworld,True,53,0.5922322539991001,0,0,0,0,0.10148897767066956,,True,False,,custom,0.2
ACT + Detector,25,6000567,metaworld,True,52,0.5264399689986021,0,0,0,0,0.1354898363351822,,True,False,,custom,0.2
ACT + Detector,26,6000568,metaworld,False,200,2.0163352270010364,0,0,1,0,0.9993054866790771,,False,True,object_dropped,custom,0.2
ACT + Detector,27,6000569,metaworld,False,200,1.988267282000379,0,0,1,0,0.9990732669830322,,False,True,timeout,custom,0.2
ACT + Detector,28,6000570,metaworld,True,53,0.5532823300000018,0,0,0,0,0.17851047217845917,,True,False,,custom,0.2
