method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),0,6000042,metaworld,True,51,0.8915442870002153,0,0,0,0,0.16387145221233368,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),1,6000043,metaworld,True,50,0.6308553430008033,1,1,1,30,0.2007613182067871,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),2,6000044,metaworld,True,56,0.3562407389999862,0,0,0,0,0.11686310917139053,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),3,6000045,metaworld,True,51,0.2452159499989648,0,0,0,0,0.18026746809482574,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),4,6000046,metaworld,True,53,0.4836418849990878,0,0,0,0,0.127713143825531,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),5,6000047,metaworld,True,50,0.7007946600006107,1,1,1,30,0.2007613182067871,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),6,6000048,metaworld,True,52,0.5435483029996249,0,0,0,0,0.1316947042942047,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),7,6000049,metaworld,True,54,0.6380356009995012,0,0,0,0,0.15684418380260468,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),8,6000050,metaworld,True,52,0.5999055080010294,0,0,0,0,0.1316947042942047,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),9,6000051,metaworld,True,53,0.38686663299995416,0,0,0,0,0.13756391406059265,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),10,6000052,metaworld,True,47,0.4657558760009124,0,0,0,0,0.19181783497333527,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),11,6000053,metaworld,True,50,0.42966170299951045,0,0,0,0,0.13729049265384674,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),12,6000054,metaworld,True,51,0.46689694999986386,0,0,0,0,0.1677646040916443,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
