method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
ACT,0,6000042,metaworld,True,50,0.5796820399991702,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,1,6000043,metaworld,True,51,0.3864784739998868,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,2,6000044,metaworld,True,60,0.3343757490001735,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,3,6000045,metaworld,True,55,0.2747683030011103,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,4,6000046,metaworld,True,56,0.4271001899996918,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,5,6000047,metaworld,True,51,0.4064527819991781,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,6,6000048,metaworld,True,56,0.5643503110004531,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,7,6000049,metaworld,True,57,0.36419975600074395,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,8,6000050,metaworld,True,55,0.41523715000039374,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,9,6000051,metaworld,True,54,0.42769037899961404,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,10,6000052,metaworld,True,48,0.5584133869997459,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,11,6000053,metaworld,True,53,0.37963336699976935,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,12,6000054,metaworld,False,200,2.016993659999571,0,0,0,0,0.0,,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,13,6000055,metaworld,False,200,1.7604586649995326,0,0,0,0,0.0,,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,14,6000056,metaworld,True,58,0.4375682219997543,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,15,6000057,metaworld,True,51,0.583815322999726,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,16,6000058,metaworld,True,57,0.8077761450003891,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,17,6000059,metaworld,True,64,0.3469920160005131,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,18,6000060,metaworld,True,48,0.5077421070000128,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,19,6000061,metaworld,True,54,0.6158638119995885,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,20,6000062,metaworld,True,54,0.7598558549998415,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,21,6000063,metaworld,True,53,0.5578591939993203,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,22,6000064,metaworld,True,51,0.4465637470002548,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,23,6000065,metaworld,True,55,0.6439655569993192,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,24,6000066,metaworld,False,200,1.7441289719990891,0,0,0,0,0.0,,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,25,6000067,metaworld,True,55,0.4419477499995992,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,26,6000068,metaworld,True,53,0.40870138900027086,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,27,6000069,metaworld,False,200,2.064934842001094,0,0,0,0,0.0,,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,28,6000070,metaworld,True,54,0.6647077540001192,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,29,6000071,metaworld,True,56,0.47047800899963477,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,30,6000072,metaworld,False,200,1.5129972920003638,0,0,0,0,0.0,,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,31,6000073,metaworld,True,50,0.3828749300009804,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,32,6000074,metaworld,True,48,0.362087593999604,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,33,6000075,metaworld,True,58,0.42714422500102955,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,34,6000076,metaworld,True,60,0.45477952100009134,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,35,6000077,metaworld,True,54,0.44992234900018957,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,36,6000078,metaworld,False,200,1.5913623910000751,0,0,0,0,0.0,,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,37,6000079,metaworld,False,200,2.040207129999544,0,0,0,0,0.0,,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,38,6000080,metaworld,True,49,0.3816659679996519,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,39,6000081,metaworld,True,62,0.45743946000038704,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,40,6000082,metaworld,True,52,0.43479015000048093,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,41,6000083,metaworld,True,55,0.3972722750004323,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
ACT,42,6000084,metaworld,True,54,0.3559382670009654,0,0,0,0,0.0,,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
