method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),0,6000042,metaworld,True,50,0.9127683009992325,0,0,0,0,0.17666028439998627,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),1,6000043,metaworld,True,51,0.30669603900059883,0,0,0,0,0.18855030834674835,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),2,6000044,metaworld,True,60,0.3970308860007208,1,1,1,25,0.20182769000530243,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),3,6000045,metaworld,True,55,0.25700873999994656,0,0,0,0,0.1590830236673355,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),4,6000046,metaworld,True,54,0.4976080050000746,1,1,1,39,0.2079092115163803,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),5,6000047,metaworld,True,51,0.4169856290009193,1,1,1,32,0.20451079308986664,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),6,6000048,metaworld,True,56,0.26591122099853237,0,0,0,0,0.15030185878276825,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),7,6000049,metaworld,True,54,0.6193101659991953,1,1,1,39,0.24832655489444733,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),8,6000050,metaworld,True,55,0.34890224399896397,0,0,0,0,0.1465797871351242,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),9,6000051,metaworld,True,54,0.44386676299836836,1,1,1,34,0.20303675532341003,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),10,6000052,metaworld,True,48,0.3206204689995502,1,1,1,29,0.21334175765514374,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),11,6000053,metaworld,True,53,0.3084711760002392,0,0,0,0,0.14510659873485565,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),12,6000054,metaworld,True,51,0.5097044550002465,1,1,1,32,0.36999690532684326,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
