method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
ACT,0,6000042,metaworld,False,200,1.131061972999305,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,1,6000043,metaworld,False,200,0.7473104829987278,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,2,6000044,metaworld,True,63,0.29045612400295795,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,3,6000045,metaworld,True,56,0.13538058899939642,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,4,6000046,metaworld,False,200,0.5387071000004653,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,5,6000047,metaworld,False,200,0.5445846149996214,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,6,6000048,metaworld,False,200,1.05660536600044,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,7,6000049,metaworld,False,200,0.6847571229991445,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,8,6000050,metaworld,False,200,0.9675524240010418,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,9,6000051,metaworld,False,200,0.8930448790015362,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,10,6000052,metaworld,True,50,0.2918957980000414,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,11,6000053,metaworld,False,200,0.863586106999719,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,12,6000054,metaworld,False,200,1.01243909799814,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,13,6000055,metaworld,False,200,1.133332033001352,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,14,6000056,metaworld,True,60,0.3883491650012729,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,15,6000057,metaworld,True,53,0.26716903499982436,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,16,6000058,metaworld,True,60,0.44908690900047077,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,17,6000059,metaworld,False,200,1.0483217210021394,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,18,6000060,metaworld,True,49,0.2464449719991535,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,19,6000061,metaworld,False,200,1.0847746599974926,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,20,6000062,metaworld,True,56,0.2814016019983683,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,21,6000063,metaworld,True,54,0.13868502900004387,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,22,6000064,metaworld,True,54,0.14718247299970244,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,23,6000065,metaworld,False,200,0.9232245550010703,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,24,6000066,metaworld,False,200,1.1751870080006483,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,25,6000067,metaworld,True,57,0.3455737760014017,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,26,6000068,metaworld,True,54,0.28802080300010857,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,27,6000069,metaworld,False,200,0.8640096859999176,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,28,6000070,metaworld,False,200,0.724047335999785,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,29,6000071,metaworld,False,200,2.1297553760014125,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,30,6000072,metaworld,False,200,0.860024377998343,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,31,6000073,metaworld,False,200,0.9955852769999183,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,32,6000074,metaworld,False,200,0.7904971169991768,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,33,6000075,metaworld,False,200,0.6984507750021294,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,34,6000076,metaworld,False,200,1.4201584060028836,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,35,6000077,metaworld,True,55,0.31555218900030013,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,36,6000078,metaworld,False,200,1.151455455001269,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,37,6000079,metaworld,False,200,1.0234020250027243,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,38,6000080,metaworld,True,50,0.2789498489983089,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,39,6000081,metaworld,True,64,0.4355002060001425,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,40,6000082,metaworld,False,200,0.6943526259965438,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,41,6000083,metaworld,True,57,0.4077179449996038,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,42,6000084,metaworld,True,56,0.31106729300154257,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,43,6000085,metaworld,True,57,0.17140005200053565,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,44,6000086,metaworld,True,53,0.1575878380026552,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,45,6000087,metaworld,False,200,1.0598245979999774,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,46,6000088,metaworld,True,67,0.3060940120012674,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,47,6000089,metaworld,False,200,0.954721055997652,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,48,6000090,metaworld,True,57,0.37086161700062803,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,49,6000091,metaworld,True,54,0.2677041390015802,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,50,6000092,metaworld,False,200,1.044226191999769,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,51,6000093,metaworld,True,56,0.1971423369977856,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,52,6000094,metaworld,False,200,0.5941541610009153,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,53,6000095,metaworld,False,200,0.7479981329997827,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,54,6000096,metaworld,False,200,0.8239030000004277,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,55,6000097,metaworld,True,55,0.2774047460006841,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,56,6000098,metaworld,True,48,0.1197529700002633,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,57,6000099,metaworld,False,200,0.4727624189981725,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,58,6000100,metaworld,True,57,0.1371300449973205,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,59,6000101,metaworld,False,200,0.4979949710032088,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,60,6000102,metaworld,True,48,0.11320560199965257,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,61,6000103,metaworld,False,200,0.5284915320007713,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,62,6000104,metaworld,False,200,0.4846523870000965,0,0,0,0,0.0,,False,True,object_dropped,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,63,6000105,metaworld,True,51,0.11453734400129179,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,64,6000106,metaworld,True,54,0.14339847599694622,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,65,6000107,metaworld,True,64,0.17087407400322263,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,66,6000108,metaworld,False,200,0.5052793329996348,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,67,6000109,metaworld,True,54,0.12934273700011545,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,68,6000110,metaworld,False,200,0.8731924439998693,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,69,6000111,metaworld,False,200,0.8564434299987624,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,70,6000112,metaworld,True,54,0.24032890999660594,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,71,6000113,metaworld,True,54,0.1238163390007685,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,72,6000114,metaworld,True,54,0.20887997699901462,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,73,6000115,metaworld,False,200,0.8053578139988531,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,74,6000116,metaworld,False,200,0.7656988990020182,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,75,6000117,metaworld,True,57,0.17227148299934925,0,0,0,0,0.0,,True,False,,0.3,30.0,0.12,0.0075,0.03,0,full
ACT,76,6000118,metaworld,False,200,0.6989219870010857,0,0,0,0,0.0,,False,True,timeout,0.3,30.0,0.12,0.0075,0.03,0,full
