method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
ACT,0,7300042,metaworld,True,51,0.23468048200084013,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,1,7300043,metaworld,True,65,0.2942400220017589,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,2,7300044,metaworld,True,51,0.2316700849987683,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,3,7300045,metaworld,True,53,0.247495274998073,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,4,7300046,metaworld,True,51,0.23784886400244432,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,5,7300047,metaworld,True,56,0.25316251199910766,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,6,7300048,metaworld,True,48,0.2241057000028377,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,7,7300049,metaworld,False,200,0.9048356780003814,0,0,0,0,0.0,,False,True,timeout,custom,0.2,False
ACT,8,7300050,metaworld,True,50,0.22848232600154006,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,9,7300051,metaworld,False,200,0.9003464089983026,0,0,0,0,0.0,,False,True,timeout,custom,0.2,False
ACT,10,7300052,metaworld,True,56,0.2536624509993999,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,11,7300053,metaworld,True,50,0.22578323600100703,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,12,7300054,metaworld,True,62,0.28336357199805207,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,13,7300055,metaworld,True,50,0.23092619399903924,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,14,7300056,metaworld,True,54,0.242028205000679,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,15,7300057,metaworld,True,59,0.26572752599895466,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,16,7300058,metaworld,False,200,0.8886250969990215,0,0,0,0,0.0,,False,True,timeout,custom,0.2,False
ACT,17,7300059,metaworld,True,55,0.2500089929999376,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,18,7300060,metaworld,True,57,0.2567273729982844,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,19,7300061,metaworld,True,51,0.23055520799971418,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,20,7300062,metaworld,True,46,0.2065531230000488,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,21,7300063,metaworld,True,54,0.2389512760018988,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,22,7300064,metaworld,True,49,0.21951050399729866,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,23,7300065,metaworld,True,67,0.2987209669990989,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,24,7300066,metaworld,True,64,0.2839970710010675,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,25,7300067,metaworld,True,51,0.22860880300140707,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,26,7300068,metaworld,True,52,0.2278282989973377,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,27,7300069,metaworld,True,48,0.21183011799803353,0,0,0,0,0.0,,True,False,,custom,0.2,False
ACT,28,7300070,metaworld,True,51,0.22588254600123037,0,0,0,0,0.0,,True,False,,custom,0.2,False
