method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7300042,metaworld,True,53,0.28270795000207727,1,1,1,34,0.281337708234787,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7300043,metaworld,True,65,0.14439212499928544,0,0,0,0,0.11399497836828232,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7300044,metaworld,True,55,0.10798149599941098,1,1,1,29,0.2014792561531067,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7300045,metaworld,True,59,0.11170880899953772,1,1,1,38,0.29396578669548035,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7300046,metaworld,True,57,0.10359232599876123,1,1,1,43,0.29729998111724854,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7300047,metaworld,True,56,0.12425420699946699,0,0,0,0,0.16407033801078796,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7300048,metaworld,True,51,0.09395431099983398,1,1,1,33,0.240987628698349,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7300049,metaworld,False,200,0.3523758869996527,1,0,1,150,0.9759334921836853,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7300050,metaworld,True,49,0.09220871900106431,1,1,1,27,0.2018476277589798,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7300051,metaworld,False,200,0.36460068299857085,1,0,1,150,0.9182573556900024,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7300052,metaworld,True,56,0.12652541599891265,0,0,0,0,0.14366334676742554,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7300053,metaworld,True,50,0.10959070500030066,0,0,0,0,0.13822348415851593,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),12,7300054,metaworld,True,62,0.13974996999968425,0,0,0,0,0.15479668974876404,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),13,7300055,metaworld,True,55,0.10062910100168665,1,1,1,43,0.2796822190284729,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7300056,metaworld,True,54,0.10348950100160437,1,1,1,32,0.23492899537086487,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),15,7300057,metaworld,True,59,0.13089726499674725,0,0,0,0,0.19405952095985413,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),16,7300058,metaworld,False,200,0.3564830399991479,1,0,1,150,0.9949449896812439,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),17,7300059,metaworld,True,55,0.12097741799880168,0,0,0,0,0.1896410435438156,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),18,7300060,metaworld,True,57,0.1254594489982992,0,0,0,0,0.19151359796524048,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),19,7300061,metaworld,True,55,0.09930581500157132,1,1,1,45,0.28720441460609436,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),20,7300062,metaworld,True,46,0.10475322799902642,0,0,0,0,0.18572057783603668,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),21,7300063,metaworld,True,57,0.1043953109983704,1,1,1,46,0.2948206663131714,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),22,7300064,metaworld,True,49,0.10961048700119136,0,0,0,0,0.19876618683338165,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),23,7300065,metaworld,True,67,0.14863486799731618,0,0,0,0,0.12130317091941833,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),24,7300066,metaworld,True,82,0.1510506129998248,1,1,1,67,0.21239390969276428,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),25,7300067,metaworld,True,51,0.1136827100017399,0,0,0,0,0.19549213349819183,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),26,7300068,metaworld,True,54,0.10748543899899232,1,1,1,30,0.23004885017871857,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),27,7300069,metaworld,True,53,0.09991687599904253,1,1,1,37,0.3643742799758911,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),28,7300070,metaworld,True,51,0.11475224800233264,0,0,0,0,0.15092496573925018,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),29,7300071,metaworld,True,58,0.12835516300037852,0,0,0,0,0.19489289820194244,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),30,7300072,metaworld,True,55,0.1007897090021288,1,1,1,42,0.2365085482597351,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),31,7300073,metaworld,True,54,0.09807953700146754,1,1,1,42,0.2627018094062805,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),32,7300074,metaworld,True,60,0.13220313300189446,0,0,0,0,0.1097959503531456,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),33,7300075,metaworld,True,56,0.12181965099807712,0,0,0,0,0.17050498723983765,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),34,7300076,metaworld,False,200,0.3539589950014488,1,0,1,150,0.9862906336784363,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),35,7300077,metaworld,True,55,0.11991450799905579,0,0,0,0,0.18494679033756256,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),36,7300078,metaworld,True,58,0.11012589799793204,1,1,1,38,0.25326505303382874,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),37,7300079,metaworld,True,55,0.10377866099952371,1,1,1,37,0.3180418610572815,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),38,7300080,metaworld,True,52,0.1166774199991778,0,0,0,0,0.19990159571170807,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),39,7300081,metaworld,True,49,0.11139907499818946,0,0,0,0,0.19736120104789734,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),40,7300082,metaworld,True,60,0.10638122499949532,1,1,1,51,0.322544127702713,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),41,7300083,metaworld,True,56,0.12687206600094214,0,0,0,0,0.16816505789756775,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),42,7300084,metaworld,False,200,0.36184695300107705,1,0,1,150,0.9929934144020081,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),43,7300085,metaworld,True,68,0.13008762799654505,1,1,1,40,0.297478586435318,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),44,7300086,metaworld,False,200,0.3593052589967556,1,0,1,150,0.9867799878120422,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
