method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7300042,metaworld,True,51,0.11476394100100151,1,1,1,32,0.28784608840942383,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7300043,metaworld,True,65,0.23389086599854636,0,0,0,0,0.11400018632411957,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7300044,metaworld,True,54,0.13377787499848637,1,1,1,28,0.2013879269361496,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7300045,metaworld,True,55,0.12343941099970834,1,1,1,34,0.2947428226470947,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7300046,metaworld,True,53,0.10557739900104934,1,1,1,39,0.30485859513282776,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7300047,metaworld,True,56,0.20383022600071854,0,0,0,0,0.1639830470085144,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7300048,metaworld,True,50,0.10996063899801811,1,1,1,32,0.2412913292646408,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7300049,metaworld,False,200,0.3884598090007785,1,0,1,150,0.9893562197685242,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7300050,metaworld,True,48,0.11480759900223347,1,1,1,26,0.20182538032531738,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7300051,metaworld,True,50,0.09616723499857471,1,1,1,38,0.29114440083503723,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7300052,metaworld,True,56,0.20267338600024232,0,0,0,0,0.1436837613582611,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7300053,metaworld,True,50,0.1799520009990374,0,0,0,0,0.1382163017988205,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),12,7300054,metaworld,True,62,0.22370801199940615,0,0,0,0,0.15484623610973358,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),13,7300055,metaworld,True,52,0.09872561999873142,1,1,1,40,0.2789374887943268,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7300056,metaworld,True,52,0.1215776460012421,1,1,1,30,0.23488910496234894,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),15,7300057,metaworld,True,59,0.21361091500148177,0,0,0,0,0.19398273527622223,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),16,7300058,metaworld,False,200,0.38226323400158435,1,0,1,150,0.9966316819190979,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),17,7300059,metaworld,True,55,0.19641165899884072,0,0,0,0,0.18966475129127502,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),18,7300060,metaworld,True,57,0.20471007200103486,0,0,0,0,0.19154872000217438,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),19,7300061,metaworld,True,52,0.09423383800094598,1,1,1,42,0.2876613140106201,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),20,7300062,metaworld,True,46,0.16525104000174906,0,0,0,0,0.18571946024894714,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),21,7300063,metaworld,True,54,0.09886484399976325,1,1,1,43,0.29563942551612854,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),22,7300064,metaworld,True,49,0.17751110600147513,0,0,0,0,0.19880497455596924,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),23,7300065,metaworld,True,67,0.24524650699822814,0,0,0,0,0.12129843980073929,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),24,7300066,metaworld,True,66,0.12957983700107434,1,1,1,51,0.21239055693149567,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),25,7300067,metaworld,True,51,0.186360997002339,0,0,0,0,0.1954721063375473,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),26,7300068,metaworld,True,52,0.1268858369985537,1,1,1,28,0.23002567887306213,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),27,7300069,metaworld,True,50,0.1061824099997466,1,1,1,34,0.36478644609451294,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),28,7300070,metaworld,True,51,0.18408655499661108,0,0,0,0,0.15089671313762665,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),29,7300071,metaworld,True,58,0.21191838800223195,0,0,0,0,0.19495537877082825,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),30,7300072,metaworld,True,53,0.10388866900029825,1,1,1,40,0.24174141883850098,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),31,7300073,metaworld,True,51,0.09878136300176266,1,1,1,39,0.263337105512619,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),32,7300074,metaworld,True,60,0.2203253970001242,0,0,0,0,0.10979464650154114,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),33,7300075,metaworld,True,56,0.20504469699881156,0,0,0,0,0.17045114934444427,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),34,7300076,metaworld,True,65,0.11090232300193748,1,1,1,57,0.3967909514904022,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),35,7300077,metaworld,True,55,0.2026932320004562,0,0,0,0,0.18495792150497437,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),36,7300078,metaworld,True,56,0.12470198200026061,1,1,1,36,0.25537189841270447,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),37,7300079,metaworld,True,53,0.11539702899972326,1,1,1,35,0.3338465094566345,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),38,7300080,metaworld,True,52,0.19072760500057484,0,0,0,0,0.19989776611328125,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),39,7300081,metaworld,True,49,0.18380035500013037,0,0,0,0,0.19724956154823303,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),40,7300082,metaworld,True,56,0.09956889900058741,1,1,1,47,0.3241371810436249,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),41,7300083,metaworld,True,56,0.20649560099991504,0,0,0,0,0.1681809276342392,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),42,7300084,metaworld,False,200,0.3907423190030386,1,0,1,150,0.9930830001831055,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),43,7300085,metaworld,True,63,0.15280259599967394,1,1,1,35,0.3006967008113861,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),44,7300086,metaworld,False,200,0.3923904089970165,1,0,1,150,0.986029326915741,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),45,7300087,metaworld,True,56,0.20428677400195738,0,0,0,0,0.12974856793880463,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),46,7300088,metaworld,True,56,0.09816406699974323,1,1,1,48,0.33172863721847534,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),47,7300089,metaworld,True,49,0.10617314199771499,1,1,1,33,0.32706353068351746,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),48,7300090,metaworld,True,59,0.22081625999999233,0,0,0,0,0.14324437081813812,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),49,7300091,metaworld,True,59,0.11106578199905925,1,1,1,47,0.28641337156295776,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),50,7300092,metaworld,True,54,0.10173856999972486,1,1,1,45,0.43745338916778564,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),51,7300093,metaworld,True,58,0.2698898679991544,0,0,0,0,0.1528635025024414,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),52,7300094,metaworld,True,60,0.2295160030007537,0,0,0,0,0.14062078297138214,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),53,7300095,metaworld,True,59,0.10161646299820859,1,1,1,51,0.42758429050445557,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),54,7300096,metaworld,True,52,0.19227119800052606,0,0,0,0,0.1771840900182724,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),55,7300097,metaworld,True,56,0.2079751139972359,0,0,0,0,0.16306942701339722,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),56,7300098,metaworld,True,56,0.09978441799830762,1,1,1,47,0.29580655694007874,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),57,7300099,metaworld,True,59,0.2201091400020232,0,0,0,0,0.16196031868457794,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),58,7300100,metaworld,True,49,0.10598859500169056,1,1,1,33,0.3077537715435028,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
