method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7300042,metaworld,True,51,0.15692640299675986,1,1,1,32,0.28775250911712646,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7300043,metaworld,True,65,0.3296393689997785,0,0,0,0,0.11400018632411957,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7300044,metaworld,False,200,0.5355518239994126,1,0,1,150,0.7452534437179565,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7300045,metaworld,False,200,0.5414812220005842,1,0,1,150,0.9695020914077759,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7300046,metaworld,True,48,0.13348302700251224,1,1,1,34,0.3123297691345215,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7300047,metaworld,True,56,0.2792909130002954,0,0,0,0,0.1639830470085144,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7300048,metaworld,True,49,0.14678350100075477,1,1,1,31,0.24327723681926727,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7300049,metaworld,False,200,0.5167080439969141,1,0,1,150,0.808162271976471,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7300050,metaworld,True,49,0.1596524540000246,1,1,1,27,0.20182538032531738,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7300051,metaworld,False,200,0.5109697100015183,1,0,1,150,0.9137652516365051,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7300052,metaworld,True,56,0.27736879700023565,0,0,0,0,0.1436837613582611,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7300053,metaworld,True,50,0.24793756600047345,0,0,0,0,0.1382163017988205,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),12,7300054,metaworld,True,62,0.31192390500291367,0,0,0,0,0.15484623610973358,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),13,7300055,metaworld,True,44,0.1154294040024979,1,1,1,32,0.2685408294200897,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7300056,metaworld,True,54,0.16557351699884748,1,1,1,32,0.23496480286121368,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),15,7300057,metaworld,True,59,0.2918693479987269,0,0,0,0,0.19398273527622223,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),16,7300058,metaworld,False,200,0.5062747669981036,1,0,1,150,0.9801105260848999,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),17,7300059,metaworld,True,55,0.27129967699875124,0,0,0,0,0.18966475129127502,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),18,7300060,metaworld,True,57,0.2825179869978456,0,0,0,0,0.19154872000217438,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),19,7300061,metaworld,True,44,0.11076410400346504,1,1,1,34,0.2875286340713501,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),20,7300062,metaworld,True,46,0.22675084000002244,0,0,0,0,0.18571946024894714,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),21,7300063,metaworld,True,48,0.12131446999774198,1,1,1,37,0.29573413729667664,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),22,7300064,metaworld,True,49,0.24130802299987408,0,0,0,0,0.19880497455596924,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),23,7300065,metaworld,True,67,0.33367114899738226,0,0,0,0,0.12129843980073929,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),24,7300066,metaworld,False,200,0.5208926559971587,1,0,1,150,0.42211616039276123,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),25,7300067,metaworld,True,51,0.25040700400131755,0,0,0,0,0.1954721063375473,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),26,7300068,metaworld,True,51,0.16621627700078534,1,1,1,27,0.23012275993824005,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),27,7300069,metaworld,True,48,0.13323586400292697,1,1,1,32,0.37217873334884644,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),28,7300070,metaworld,True,51,0.2490457360036089,0,0,0,0,0.15089671313762665,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),29,7300071,metaworld,True,58,0.2839019899984123,0,0,0,0,0.19495537877082825,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),30,7300072,metaworld,True,52,0.1340935719999834,1,1,1,39,0.2390424907207489,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),31,7300073,metaworld,True,46,0.11881627500042669,1,1,1,34,0.26277604699134827,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),32,7300074,metaworld,True,60,0.3011622129997704,0,0,0,0,0.10979464650154114,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),33,7300075,metaworld,True,56,0.2696315309985948,0,0,0,0,0.17045114934444427,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),34,7300076,metaworld,False,200,0.4970763609999267,1,0,1,150,0.981412410736084,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),35,7300077,metaworld,True,55,0.2651204220019281,0,0,0,0,0.18495792150497437,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),36,7300078,metaworld,True,56,0.15677889400103595,1,1,1,36,0.2602365016937256,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),37,7300079,metaworld,True,53,0.15051207800206612,1,1,1,35,0.3684152662754059,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),38,7300080,metaworld,True,52,0.24816166600066936,0,0,0,0,0.19989776611328125,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),39,7300081,metaworld,True,49,0.23500524799965206,0,0,0,0,0.19724956154823303,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),40,7300082,metaworld,True,47,0.10689802200067788,1,1,1,38,0.32687675952911377,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),41,7300083,metaworld,True,56,0.26656571500279824,0,0,0,0,0.1681809276342392,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),42,7300084,metaworld,False,200,0.48389916000087396,1,0,1,150,0.9856781363487244,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),43,7300085,metaworld,False,200,0.5068227859992476,1,0,1,150,0.8843508362770081,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),44,7300086,metaworld,False,200,0.488053602999571,1,0,1,150,0.9894595146179199,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),45,7300087,metaworld,True,56,0.2735592639983224,0,0,0,0,0.12974856793880463,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),46,7300088,metaworld,True,47,0.10550219200013089,1,1,1,39,0.3752957582473755,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),47,7300089,metaworld,True,47,0.12899003900020034,1,1,1,31,0.31914493441581726,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),48,7300090,metaworld,True,59,0.2764002399999299,0,0,0,0,0.14324437081813812,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),49,7300091,metaworld,False,200,0.5205190800006676,1,0,1,150,0.9920690059661865,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),50,7300092,metaworld,True,45,0.10457392500029528,1,1,1,36,0.43479207158088684,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),51,7300093,metaworld,True,58,0.271982123998896,0,0,0,0,0.1528635025024414,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),52,7300094,metaworld,True,60,0.2952391289982188,0,0,0,0,0.14062078297138214,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),53,7300095,metaworld,True,52,0.1156349750017398,1,1,1,44,0.6363788843154907,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),54,7300096,metaworld,True,52,0.24790674399991985,0,0,0,0,0.1771840900182724,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),55,7300097,metaworld,True,56,0.2730502220001654,0,0,0,0,0.16306942701339722,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),56,7300098,metaworld,True,47,0.1073203050000302,1,1,1,38,0.30311283469200134,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),57,7300099,metaworld,True,59,0.2792912629993225,0,0,0,0,0.16196031868457794,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),58,7300100,metaworld,True,45,0.12711678000050597,1,1,1,29,0.30616602301597595,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),59,7300101,metaworld,True,46,0.1332465619998402,1,1,1,29,0.27658259868621826,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),60,7300102,metaworld,False,200,0.5066676219976216,1,0,1,150,0.9913839101791382,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),61,7300103,metaworld,True,52,0.14114117699864437,1,1,1,36,0.2616574168205261,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),62,7300104,metaworld,True,48,0.11010242799966363,1,1,1,40,0.3413837254047394,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),63,7300105,metaworld,True,57,0.2746190990001196,0,0,0,0,0.15584442019462585,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),64,7300106,metaworld,True,49,0.23401348999686888,0,0,0,0,0.15142950415611267,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),65,7300107,metaworld,True,57,0.2704831409973849,0,0,0,0,0.14676298201084137,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),66,7300108,metaworld,False,200,0.47688459799974225,1,0,1,150,0.9980815649032593,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),67,7300109,metaworld,True,46,0.12810276399977738,1,1,1,30,0.2158045768737793,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),68,7300110,metaworld,True,44,0.20733377700162237,0,0,0,0,0.1920279711484909,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),69,7300111,metaworld,True,50,0.13522429300064687,1,1,1,33,0.3328995108604431,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),70,7300112,metaworld,True,57,0.26939337699877797,0,0,0,0,0.10903896391391754,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),71,7300113,metaworld,False,200,0.5177377110012458,1,0,1,150,0.43191829323768616,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),72,7300114,metaworld,True,57,0.27013755200096057,0,0,0,0,0.17335644364356995,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),73,7300115,metaworld,True,52,0.2560739660002582,0,0,0,0,0.14396557211875916,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),74,7300116,metaworld,True,55,0.15304553500027396,1,1,1,37,0.2004145383834839,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),75,7300117,metaworld,False,200,0.4913107479987957,1,0,1,150,0.8828579187393188,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),76,7300118,metaworld,False,200,0.479959879998205,1,0,1,150,0.8446753621101379,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),77,7300119,metaworld,True,49,0.13400541599912685,1,1,1,33,0.33812904357910156,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),78,7300120,metaworld,False,200,0.5002446319995215,1,0,1,150,0.9329895377159119,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),79,7300121,metaworld,False,200,0.5163731169996026,1,0,1,150,0.9914016127586365,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),80,7300122,metaworld,True,48,0.23990549500013003,0,0,0,0,0.18415918946266174,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),81,7300123,metaworld,True,44,0.10307722500147065,1,1,1,36,0.37420517206192017,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),82,7300124,metaworld,True,49,0.11973113899875898,1,1,1,38,0.3501768708229065,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),83,7300125,metaworld,False,200,0.5274607040009869,1,0,1,141,0.9938515424728394,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),84,7300126,metaworld,False,200,0.51371547600138,1,0,1,150,0.26219284534454346,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),85,7300127,metaworld,False,200,0.4942345609997574,1,0,1,150,0.9852141737937927,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),86,7300128,metaworld,True,53,0.15693864900094923,1,1,1,32,0.23624323308467865,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),87,7300129,metaworld,True,43,0.1086009219980042,1,1,1,32,0.28412947058677673,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),88,7300130,metaworld,True,43,0.10493449199930183,1,1,1,33,0.3811100423336029,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),89,7300131,metaworld,False,200,0.5178236060019117,1,0,1,143,0.9906619191169739,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),90,7300132,metaworld,True,47,0.12774400299895206,1,1,1,32,0.3317722976207733,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),91,7300133,metaworld,True,48,0.13303966899911757,1,1,1,32,0.25497767329216003,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),92,7300134,metaworld,True,50,0.13907616199867334,1,1,1,33,0.3371215760707855,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
