method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,7300042,metaworld,True,51,0.15978297699984978,1,1,1,32,0.29154178500175476,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,7300043,metaworld,True,65,0.3366511400017771,0,0,0,0,0.11400018632411957,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,7300044,metaworld,True,55,0.18797265399916796,1,1,1,29,0.2013879269361496,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,7300045,metaworld,True,56,0.17203736800001934,1,1,1,35,0.29758012294769287,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,7300046,metaworld,True,50,0.13891932000115048,1,1,1,36,0.3043864965438843,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,7300047,metaworld,True,56,0.2885470039982465,0,0,0,0,0.1639830470085144,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,7300048,metaworld,True,49,0.15022922899879632,1,1,1,31,0.24345098435878754,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,7300049,metaworld,False,200,0.5327457620005589,1,0,1,150,0.9810656905174255,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),8,7300050,metaworld,True,49,0.1626595849993464,1,1,1,27,0.20182538032531738,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,7300051,metaworld,True,48,0.1293181420005567,1,1,1,36,0.3198791444301605,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),10,7300052,metaworld,True,56,0.28544393199990736,0,0,0,0,0.1436837613582611,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),11,7300053,metaworld,True,50,0.2545510739983001,0,0,0,0,0.1382163017988205,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),12,7300054,metaworld,True,62,0.3103600659997028,0,0,0,0,0.15484623610973358,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),13,7300055,metaworld,True,48,0.1265464379976038,1,1,1,36,0.26785606145858765,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7300056,metaworld,True,52,0.1672766279989446,1,1,1,30,0.23575860261917114,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),15,7300057,metaworld,True,59,0.2978561340023589,0,0,0,0,0.19398273527622223,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),16,7300058,metaworld,False,200,0.5251788800014765,1,0,1,150,0.9940118193626404,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),17,7300059,metaworld,True,55,0.27468086700173444,0,0,0,0,0.18966475129127502,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),18,7300060,metaworld,True,57,0.2875807340024039,0,0,0,0,0.19154872000217438,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),19,7300061,metaworld,True,48,0.11936543300180347,1,1,1,38,0.2869621217250824,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),20,7300062,metaworld,True,46,0.2279703120002523,0,0,0,0,0.18571946024894714,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),21,7300063,metaworld,True,51,0.1283239210024476,1,1,1,40,0.2941640615463257,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),22,7300064,metaworld,True,49,0.24690472599831992,0,0,0,0,0.19880497455596924,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),23,7300065,metaworld,True,67,0.33973232000062126,0,0,0,0,0.12129843980073929,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),24,7300066,metaworld,True,66,0.1704853640003421,1,1,1,51,0.21239055693149567,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),25,7300067,metaworld,True,51,0.2560417980021157,0,0,0,0,0.1954721063375473,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),26,7300068,metaworld,True,52,0.17128836299889372,1,1,1,28,0.23009125888347626,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),27,7300069,metaworld,True,48,0.1365960190014448,1,1,1,32,0.3773428499698639,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
