method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
REIM (ACT + Detector + Recovery),0,7300042,metaworld,False,200,0.3944314270011091,1,0,1,150,0.9832769632339478,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),1,7300043,metaworld,True,65,0.18086755399781396,0,0,0,0,0.11400018632411957,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),2,7300044,metaworld,True,193,0.36499003099743277,1,0,1,150,0.2273077815771103,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),3,7300045,metaworld,True,189,0.36441863599975477,1,0,1,150,0.29572275280952454,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),4,7300046,metaworld,False,200,0.37848538699836354,1,0,1,150,0.9981085062026978,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),5,7300047,metaworld,True,56,0.16771861600136617,0,0,0,0,0.1639830470085144,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),6,7300048,metaworld,True,182,0.3388668879997567,1,0,1,150,0.24124711751937866,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),7,7300049,metaworld,False,200,0.3725560180027969,1,0,1,150,0.9622740745544434,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),8,7300050,metaworld,False,200,0.38430751799751306,1,0,1,150,0.9588480591773987,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),9,7300051,metaworld,False,200,0.40097363499808125,1,0,1,150,0.8422883152961731,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),10,7300052,metaworld,True,56,0.15607977000036044,0,0,0,0,0.1436837613582611,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),11,7300053,metaworld,True,50,0.1376304009972955,0,0,0,0,0.1382163017988205,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),12,7300054,metaworld,True,62,0.186073952998413,0,0,0,0,0.15484623610973358,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),13,7300055,metaworld,False,200,0.374465044002136,1,0,1,150,0.9979707598686218,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),14,7300056,metaworld,True,188,0.35144883199973265,1,0,1,150,0.23292019963264465,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),15,7300057,metaworld,True,59,0.16543592900052317,0,0,0,0,0.19398273527622223,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),16,7300058,metaworld,False,200,0.36831650200110744,1,0,1,150,0.9993550181388855,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),17,7300059,metaworld,True,55,0.14863934100139886,0,0,0,0,0.18966475129127502,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),18,7300060,metaworld,True,57,0.1593917739992321,0,0,0,0,0.19154872000217438,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),19,7300061,metaworld,False,200,0.37091970600158675,1,0,1,150,0.9970865845680237,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2
